phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.89999999999998,19,0,286.02522828185,286.02522828185,100,99.7347398652419,-0.265260134758094,10,,,1,100
planning,0.3,0,286.02522828185,293.718098871288,7.69287058943797,99.7347398652419,99.7276155346472,-0.00712433059470641,,,0.285199930456709,100,103
dwelling,6.39999999999999,0,293.718098871288,438.739290312117,145.02119144083,99.7276155346472,99.5934812264138,-0.134134308233357,,6.35555552790278,,103,167
planning,0.2,0,438.739290312117,444.309242354362,5.56995204224529,99.5934812264138,99.5883174988376,-0.00516372757628858,,,0.139432830268026,167,169
traveling,11,25.7099202643649,444.309242354362,814.54881317267,370.239570818308,99.5883174988376,99.2441389243764,-0.344178574461139,11.1056247642151,,,169,279
planning,0.6,0,814.54881317267,830.902810840394,16.3539976677237,99.2441389243764,99.2289785846677,-0.0151603397087428,,,0.5410701982843,279,285
dwelling,10.7,0,830.902810840394,1085.89493984589,254.992129005496,99.2289785846677,98.9929356586478,-0.236042926019849,,10.6909090756408,,285,392
planning,0.4,0,1085.89493984589,1096.82529702878,10.9303571828909,98.9929356586478,98.9828013350494,-0.0101343235984217,,,0.361214322065621,392,396
traveling,9.69999999999998,21.4709105535839,1096.82529702878,1410.80059604757,313.975299018791,98.9828013350494,98.691001523319,-0.291799811730428,9.85087559493794,,,396,493
planning,0.3,0,1410.80059604757,1418.93436741262,8.13377136504914,98.691001523319,98.6834595326606,-0.007541990658396,,,0.216907683156099,493,496
dwelling,10.2,0,1418.93436741262,1674.10094977082,255.166582358196,98.6834595326606,98.4470454286655,-0.236414103995031,,10.1470587908406,,496,598
planning,1,0,1674.10094977082,1702.85027223613,28.7493224653165,98.4470454286655,98.4203645433845,-0.0266808852810954,,,0.930109720672264,598,608
traveling,9.79999999999998,21.4709105535839,1702.85027223613,2028.0381702394,325.187898003269,98.4203645433845,98.1179312684934,-0.302433274891044,9.95167794731499,,,608,706
planning,0.4,0,2028.0381702394,2039.48747981918,11.4493095797764,98.1179312684934,98.1073043026219,-0.010626965871495,,,0.328779931039206,706,710
dwelling,10.7,0,2039.48747981918,2307.74393997376,268.256460154583,98.1073043026219,97.8586836832035,-0.248620619418418,,10.6909090864855,,710,817
planning,0.7,0,2307.74393997376,2327.73565996395,19.9917199901925,97.8586836832035,97.8401254458178,-0.0185582373857329,,,0.626927743329382,817,824
traveling,7.69999999999999,15.1327459504216,2327.73565996395,2566.55015342605,238.814493462093,97.8401254458178,97.6181631382002,-0.221962307617531,7.87069640147876,,,824,901
planning,0.5,0,2566.55015342605,2578.92601368403,12.3758602579783,97.6181631382002,97.6066923185664,-0.0114708196338711,,,0.434625121041389,901,906
dwelling,10.9,0,2578.92601368403,2834.20267711244,255.276663428411,97.6066923185664,97.3702021061688,-0.236490212397541,,10.8333333262869,,906,1015
planning,0.7,0,2834.20267711244,2853.1361597819,18.9334826694612,97.3702021061688,97.3526327030721,-0.0175694030967577,,,0.636772817656577,1015,1022
traveling,7.99999999999999,15.1327459504216,2853.1361597819,3116.71538834402,263.579228562126,97.3526327030721,97.1073522005423,-0.245280502529809,8.17699225294096,,,1022,1102
