phase_type,duration,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
planning,0.4,2259.67837372533,2268.55698309957,8.87860937423829,97.6923243892609+0.167196440274804i,97.6841046914077+0.167197266312484i,-0.00821969785323517+8.26037679590996e-07i,,,0.345141113272896,519,523
dwelling,7.79999999999999,2268.55698309957,2432.04120591333,163.484222813755,97.6841046914077+0.167197266312484i,97.5328269520727+0.167212501964214i,-0.151277739334986+1.52356517300334e-05i,,7.73333331773331,,523,601
planning,0.7,2432.04120591333,2449.37126801108,17.330062097752,97.5328269520727+0.167212501964214i,97.5167633676215+0.167214130725139i,-0.0160635844512171+1.62876092510422e-06i,,,0.649949936863303,601,608
traveling,4.8,2449.37126801108,2721.73100221203,272.359734200954,97.5167633676215+0.167214130725139i,97.2541702946961+0.167243325611533i,-0.262593072925412+2.91948863938019e-05i,4.74122679595023,,,608,656
planning,0.5,2721.73100221203,2734.94776075935,13.2167585473117,97.2541702946961+0.167243325611533i,97.2419082131272+0.167244584785245i,-0.012262081568835+1.25917371177064e-06i,,,0.414841815616532,656,661
dwelling,8.59999999999999,2734.94776075935,2932.50662789371,197.558867134362,97.2419082131272+0.167244584785245i,97.0588847469013+0.167263395441969i,-0.183023466225976+1.88106567244606e-05i,,8.59999989165839,,661,747
planning,0.4,2932.50662789371,2942.19992637127,9.69329847756217,97.0588847469013+0.167263395441969i,97.049899321078+0.167264323479325i,-0.00898542582322648+9.28037356157096e-07i,,,0.320336716740788,747,751
traveling,4.2,2942.19992637127,3060.92258362839,118.722657257118,97.049899321078+0.167264323479325i,96.9396313697313+0.167275783649959i,-0.110267951346728+1.14601706332762e-05i,4.27570165369245,,,751,793
planning,1,3060.92258362839,3086.21396220277,25.2913785743817,96.9396313697313+0.167275783649959i,96.9161740706298+0.167278220896286i,-0.0234572991015227+2.43724632773001e-06i,,,0.918752171902624,793,803
dwelling,5.8,3086.21396220277,3201.93443510968,115.720472906913,96.9161740706298+0.167278220896286i,96.8090902719354+0.167289323675603i,-0.107083798694362+1.11027793163188e-05i,,5.76153835687556,,803,861
planning,0.5,3201.93443510968,3211.57339097025,9.63895586057151,96.8090902719354+0.167289323675603i,96.8001732202736+0.167290249750315i,-0.00891705166183954+9.26074712664926e-07i,,,0.490178557441008,861,866
traveling,4.9,3211.57339097025,3424.51737746184,212.943986491586,96.8001732202736+0.167290249750315i,96.599059547432+0.167312146527673i,-0.201113672841601+2.18967773580325e-05i,4.8263139155942,,,866,915
planning,0.7,3424.51737746184,3440.57678642654,16.0594089646956,96.599059547432+0.167312146527673i,96.5841770548118+0.167313710177954i,-0.0148824926201883+1.56365028083916e-06i,,,0.666955766104041,915,922
dwelling,8.49999999999999,3440.57678642654,3627.96408822487,187.387301798331,96.5841770548118+0.167313710177954i,96.4105793032806+0.167332002450366i,-0.173597751531148+1.82922724115131e-05i,,8.49999992010858,,922,1007
planning,0.1,3627.96408822487,3630.57315966996,2.60907144509611,96.4105793032806+0.167332002450366i,96.4081578070561+0.167332259399037i,-0.00242149622458498+2.56948671090163e-07i,,,0.0313679304602156,1007,1008
traveling,4.9,3630.57315966996,3893.80590328005,263.232743610084,96.4081578070561+0.167332259399037i,96.1560949658664+0.167361015373787i,-0.252062841189655+2.87559747503552e-05i,4.89945912818854,,,1008,1057
planning,0.5,3893.80590328005,3906.39444120981,12.5885379297592,96.1560949658664+0.167361015373787i,96.1444142173996+0.167362266308678i,-0.0116807484667589+1.25093489056205e-06i,,,0.426506532686559,1057,1062
dwelling,9.29999999999998,3906.39444120981,4111.40944370072,205.015002490911,96.1444142173996+0.167362266308678i,95.9544301026978+0.167382635253157i,-0.189984114701801+2.03689444792376e-05i,,9.23333326274043,,1062,1155
planning,0.9,4111.40944370072,4134.11876284964,22.7093191489239,95.9544301026978+0.167382635253157i,95.9333550557177+0.167384910280834i,-0.0210750469801866+2.2750276774397e-06i,,,0.804522702639135,1155,1164
traveling,4.4,4134.11876284964,4253.63327298259,119.514510132946,95.9333550557177+0.167384910280834i,95.8223279623156+0.167396949598545i,-0.111027093402043+1.20393177109879e-05i,4.5006997703533,,,1164,1208
planning,1,4253.63327298259,4278.79924298756,25.1659700049713,95.8223279623156+0.167396949598545i,95.798971811906+0.167399483507842i,-0.0233561504095974+2.53390929705333e-06i,,,0.902077382847998,1208,1218
dwelling,8.69999999999999,4278.79924298756,4467.00641388748,188.207170899921,95.798971811906+0.167399483507842i,95.6245576108863+0.167418417694584i,-0.174414201019744+1.89341867411486e-05i,,8.62044879062649,,1218,1305
planning,0.7,4467.00641388748,4485.62246625161,18.6160523641256,95.6245576108863+0.167418417694584i,95.6072672418261+0.167420309786407i,-0.0172903690602197+1.89209182371863e-06i,,,0.679662419579085,1305,1312
traveling,5.6,4485.62246625161,4697.64946158403,212.02699533243,95.6072672418261+0.167420309786407i,95.4089803287542+0.167442402133115i,-0.198286913071883+2.20923467073864e-05i,5.56008883791402,,,1312,1368
planning,0.4,4697.64946158403,4707.7119522203,10.0624906362636,95.4089803287542+0.167442402133115i,95.3996390477198+0.16744343117134i,-0.00934128103435228+1.02903822515876e-06i,,,0.330135079971678,1368,1372
dwelling,10.6,4707.7119522203,4958.1218770244,250.409924804105,95.3996390477198+0.16744343117134i,95.1673103508937+0.167469106060666i,-0.232328696826158+2.56748893265324e-05i,,10.5666665326644,,1372,1478
planning,0.3,4958.1218770244,4966.23045447261,8.10857744820987,95.1673103508937+0.167469106060666i,95.1597755001273+0.167469944957773i,-0.00753485076640459+8.38897107058312e-07i,,,0.247062043489109,1478,1481
traveling,5.5,4966.23045447261,5196.99363804696,230.76318357435,95.1597755001273+0.167469944957773i,94.9429602455636+0.167494741264742i,-0.216815254563656+2.479630696825e-05i,5.4592053409986,,,1481,1536
planning,0.6,5196.99363804696,5214.90886064822,17.9152226012584,94.9429602455636+0.167494741264742i,94.9262891530615+0.167496617808241i,-0.0166710925020936+1.87654349897981e-06i,,,0.560559788896296,1536,1542
dwelling,11.4,5214.90886064822,5498.74650164228,283.837640994056,94.9262891530615+0.167496617808241i,94.662705438489+0.167526310241121i,-0.263583714572476+2.96924328806458e-05i,,11.3333325124792,,1542,1656
planning,0.4,5498.74650164228,5508.70682247572,9.96032083344562,94.662705438489+0.167526310241121i,94.6534554513474+0.167527357315174i,-0.0092499871416436+1.04707405254589e-06i,,,0.386489744632431,1656,1660
traveling,4.8,5508.70682247572,5642.36618139984,133.659358924122,94.6534554513474+0.167527357315174i,94.5291476234791+0.167541502919114i,-0.124307827868321+1.41456039404464e-05i,4.89507056859333,,,1660,1708
planning,0.1,5642.36618139984,5645.1492596564,2.78307825655702,94.5291476234791+0.167541502919114i,94.5265594401655+0.167541798047219i,-0.0025881833135486+2.95128105176623e-07i,,,0.059019307041501,1708,1709
dwelling,11.9,5645.1492596564,5903.4984341139,258.349174457498,94.5265594401655+0.167541798047219i,94.2869226554948+0.167569095225018i,-0.239636784670736+2.72971777986186e-05i,,11.8216444060694,,1709,1828
planning,0.4,5903.4984341139,5913.61427389588,10.1158397819827,94.2869226554948+0.167569095225018i,94.2775241676587+0.167570173950624i,-0.00939848783605157+1.07872560606292e-06i,,,0.386652651369415,1828,1832
traveling,6.09999999999999,5913.61427389588,6103.68425049581,190.069976599929,94.2775241676587+0.167570173950624i,94.1003500720339+0.167590711480373i,-0.177174095624778+2.05375297493704e-05i,6.06176158511164,,,1832,1893
planning,0.9,6103.68425049581,6125.77618189696,22.0919314011544,94.1003500720339+0.167590711480373i,94.0798288628392+0.167593081358502i,-0.0205212091947971+2.3698781282111e-06i,,,0.895978971212024,1893,1902
dwelling,11.8,6125.77618189696,6368.85212468468,243.075942787717,94.0798288628392+0.167593081358502i,93.8544053554845+0.167619136535041i,-0.225423507354634+2.60551765392525e-05i,,11.7999999666832,,1902,2020
planning,0.4,6368.85212468468,6377.31858796782,8.46646328314182,93.8544053554845+0.167619136535041i,93.8465512892553+0.167620048478221i,-0.00785406622918572+9.11943179887631e-07i,,,0.341464166642456,2020,2024
traveling,5.8,6377.31858796782,6559.59769352536,182.279105557534,93.8465512892553+0.167620048478221i,93.6763998498604+0.167640117075675i,-0.170151439394886+2.00685974542647e-05i,5.87552979179042,,,2024,2082
planning,0.6,6559.59769352536,6574.32325218894,14.7255586635802,93.6763998498604+0.167640117075675i,93.6627173276586+0.167641720626768i,-0.0136825222018757+1.60355109263266e-06i,,,0.511655733625272,2082,2088
dwelling,13,6574.32325218894,6866.60029865242,292.27704646348,93.6627173276586+0.167641720626768i,93.3913609372474+0.167673621811344i,-0.271356390411214+3.19011845764106e-05i,,12.9999998358973,,2088,2218
planning,1,6866.60029865242,6892.69982024022,26.0995215878029,93.3913609372474+0.167673621811344i,93.3670884155938+0.167676499115424i,-0.0242725216535717+2.87730407957931e-06i,,,0.950991507072528,2218,2228
traveling,5.1,6892.69982024022,7032.09713387744,139.397313637216,93.3670884155938+0.167676499115424i,93.2373684233768+0.167691934631977i,-0.129719992217034+1.54355165532527e-05i,5.26961567465877,,,2228,2279
planning,0.5,7032.09713387744,7044.75145626131,12.6543223838698,93.2373684233768+0.167691934631977i,93.2256028179168+0.167693335413295i,-0.0117656054599422+1.40078131841137e-06i,,,0.413824652771609,2279,2284
dwelling,12.1,7044.75145626131,7317.7576878446,273.006231583288,93.2256028179168+0.167693335413295i,92.9720519892108+0.167723585102225i,-0.253550828706011+3.02496889299786e-05i,,12.0056647223113,,2284,2405
