phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.89999999999998,19,0,318.084222300847,318.084222300847,100,99.7045709679967,-0.295429032003284,10,,,1,100
planning,0.5,0,318.084222300847,331.137827186381,13.0536048855337,99.7045709679967,99.6924793858293,-0.0120915821674288,,,0.452417940076628,100,105
dwelling,6.19999999999999,0,331.137827186381,476.859182845883,145.721355659503,99.6924793858293,99.557645678977,-0.134833706852334,,6.1555555506633,,105,167
planning,0.7,0,476.859182845883,495.477985711533,18.6188028656493,99.557645678977,99.5403938550243,-0.0172518239526198,,,0.65203748200531,167,174
traveling,14,25.7099202643649,495.477985711533,948.819542163975,453.341556452442,99.5403938550243,99.1191589235598,-0.421234931464511,14.2786602918026,,,174,314
planning,0.5,0,948.819542163975,962.89976710742,14.0802249434449,99.1191589235598,99.1061002606083,-0.0130586629514937,,,0.496249939276762,314,319
dwelling,12.1,0,962.89976710742,1253.4194090803,290.519641972879,99.1061002606083,98.8371268039941,-0.268973456614219,,12.0636363505697,,319,440
planning,0.7,0,1253.4194090803,1271.66712467917,18.2477155988695,98.8371268039941,98.8202158619937,-0.016910942000365,,,0.665351835661437,440,447
traveling,12.4,21.4709105535839,1271.66712467917,1623.32839525309,351.661270573923,98.8202158619937,98.4939373482976,-0.326278513696153,12.6654112123037,,,447,571
planning,0.6,0,1623.32839525309,1637.3157583728,13.9873631197088,98.4939373482976,98.4809878203853,-0.0129495279123404,,,0.575236040523214,571,577
dwelling,11.3,0,1637.3157583728,1887.33154621409,250.015787841288,98.4809878203853,98.2496224883505,-0.231365332034784,,11.2235293870469,,577,690
planning,0.5,0,1887.33154621409,1900.71539265624,13.3838464421478,98.2496224883505,98.2372110374062,-0.0124114509442848,,,0.438715652356128,690,695
traveling,12.5,21.4709105535839,1900.71539265624,2264.37779724236,363.662404586122,98.2372110374062,97.8995785016064,-0.337632535799813,12.7950148925848,,,695,820
planning,0.4,0,2264.37779724236,2275.28279900079,10.9050017584364,97.8995785016064,97.8894614822563,-0.0101170193500337,,,0.341828641561545,820,824
dwelling,13,0,2275.28279900079,2589.38319644621,314.10039744542,97.8894614822563,97.5984236398133,-0.29103784244306,,12.981818181916,,824,954
planning,0.2,0,2589.38319644621,2594.94455232285,5.56135587663448,97.5984236398133,97.593261988586,-0.00516165122729717,,,0.125611237841341,954,956
traveling,9.89999999999998,15.1327459504216,2594.94455232285,2909.89045392882,314.945901605968,97.593261988586,97.3003850098515,-0.292876978734469,10.1194674308146,,,956,1055
planning,0.3,0,2909.89045392882,2917.80310154785,7.91264761903813,97.3003850098515,97.2930443592705,-0.00734065058102829,,,0.209993620956908,1055,1058
dwelling,12.8,0,2917.80310154785,3217.90424554062,300.101143992769,97.2930443592705,97.0149683632566,-0.278075996013854,,12.744444441723,,1058,1186
planning,0.7,0,3217.90424554062,3238.00596844524,20.1017229046133,97.0149683632566,96.9962970802843,-0.0186712829723774,,,0.636355604460348,1186,1193
traveling,10.2,15.1327459504216,3238.00596844524,3549.58676819339,311.580799748152,96.9962970802843,96.7066052324369,-0.289691847847322,10.5132752406074,,,1193,1295
planning,0.8,0,3549.58676819339,3569.40214350335,19.8153753099564,96.7066052324369,96.6882284432755,-0.0183767891614366,,,0.799409681970102,1295,1303
dwelling,11.4,0,3569.40214350335,3820.82847399233,251.426330488984,96.6882284432755,96.4553045495662,-0.232923893709284,,11.3818181714032,,1303,1417
planning,0.4,0,3820.82847399233,3831.62268722433,10.7942132320049,96.4553045495662,96.445282658869,-0.010021890697189,,,0.361613942951237,1417,1421
traveling,12.2,21.4709105535839,3831.62268722433,4190.69669297593,359.074005751598,96.445282658869,96.1114967057983,-0.333785953070674,12.4012067294892,,,1421,1543
planning,0.5,0,4190.69669297593,4204.23133307005,13.5346400941216,96.1114967057983,96.0989272262258,-0.0125694795725195,,,0.472130200957313,1543,1548
dwelling,14.4,0,4204.23133307005,4528.11540588455,323.8840728145,96.0989272262258,95.7986996859906,-0.300227540235269,,14.3588234575152,,1548,1692
planning,0.6,0,4528.11540588455,4546.01769651055,17.9022906259961,95.7986996859906,95.7820501547599,-0.0166495312306409,,,0.539692247251863,1692,1698
traveling,12.5,21.4709105535839,4546.01769651055,4931.41516219449,385.397465683941,95.7820501547599,95.4233949662706,-0.358655188489351,12.7950144977448,,,1698,1823
planning,0.4,0,4931.41516219449,4941.19900562121,9.78384342672143,95.4233949662706,95.4143152440196,-0.00907972225091669,,,0.313463793728963,1823,1827
dwelling,14.1,0,4941.19900562121,5247.57655757686,306.37755195565,95.4143152440196,95.130299036773,-0.284016207246637,,14.0727272704328,,1827,1968
planning,1,0,5247.57655757686,5273.09895184271,25.522394265844,95.130299036773,95.1065975737746,-0.0237014629984316,,,0.938732549831296,1968,1978
traveling,13.9,25.7099202643649,5273.09895184271,5707.95751131977,434.85855947706,95.1065975737746,94.7016374786884,-0.40496009508621,14.1914547314048,,,1978,2117
planning,0.5,0,5707.95751131977,5721.51292996209,13.5554186423196,94.7016374786884,94.6890367577728,-0.012600720915529,,,0.485359359325911,2117,2122
dwelling,21.1,0,5721.51292996209,6259.3371671993,537.824237237211,94.6890367577728,94.1893507672406,-0.499685990532285,,21.0222221654229,,2122,2333
planning,0.9,0,6259.3371671993,6283.31046898975,23.9733017904555,94.1893507672406,94.167062704592,-0.0222880626485988,,,0.851675035274315,2333,2342
traveling,14.1,25.7099202643649,6283.31046898975,6686.39614746208,403.085678472329,94.167062704592,93.7919216184204,-0.375141086171539,14.3210579936285,,,2342,2483
planning,0.1,0,6686.39614746208,6688.78192611454,2.38577865246043,93.7919216184204,93.7897056886831,-0.00221592973736051,,,0.0914186038530076,2483,2484
dwelling,18.1,0,6688.78192611454,7099.84719089193,411.065264777389,93.7897056886831,93.4080421092865,-0.381663579396545,,18.0818181755541,,2484,2665
planning,0.7,0,7099.84719089193,7118.32883170905,18.48164081712,93.4080421092865,93.3908521153542,-0.0171899939322913,,,0.666642351394066,2665,2672
traveling,9.99999999999998,15.1327459504216,7118.32883170905,7416.83504555554,298.506213846487,93.3908521153542,93.112737121022,-0.27811499433227,10.2490716080938,,,2672,2772
planning,0.5,0,7416.83504555554,7429.35118693019,12.5161413746519,93.112737121022,93.101100360108,-0.0116367609139871,,,0.40785043806181,2772,2777
dwelling,17,0,7429.35118693019,7856.0239588177,426.672771887513,93.101100360108,92.7042904755587,-0.396809884549242,,16.9777776987279,,2777,2947
planning,1,0,7856.0239588177,7883.00220464753,26.9782458298296,92.7042904755587,92.6791785644637,-0.0251119110950242,,,0.955414789333216,2947,2957
traveling,10.2,15.1327459504216,7883.00220464753,8202.40316314639,319.400958498854,92.6791785644637,92.3812509351509,-0.297927629312753,10.5132752406032,,,2957,3059
planning,0.1,0,8202.40316314639,8205.21222049972,2.80905735333909,92.3812509351509,92.3786343226352,-0.00261661251569478,,,0.000382986416272657,3059,3060
dwelling,13.8,0,8205.21222049972,8532.9824018949,327.770181395173,92.3786343226352,92.073861666318,-0.304772656317226,,13.7909090647064,,3060,3198
planning,0.3,0,8532.9824018949,8540.44905327994,7.46665138504613,92.073861666318,92.066914858031,-0.00694680828706851,,,0.240992077583518,3198,3201
traveling,12.2,21.4709105535839,8540.44905327994,8837.27780237704,296.828749097092,92.066914858031,91.7907898046284,-0.276125053402538,12.4012058454791,,,3201,3323
planning,0.8,0,8837.27780237704,8855.98337388708,18.7055715100414,91.7907898046284,91.7733944241997,-0.0173953804286953,,,0.793042157136816,3323,3331
dwelling,27.8000000000001,0,8855.98337388708,9430.80121905211,574.817845165036,91.7733944241997,91.2393588789057,-0.534035545294046,,27.7705881805346,,3331,3609
planning,0.7,0,9430.80121905211,9448.27841857034,17.4771995182236,91.2393588789057,91.2230876500227,-0.0162712288829425,,,0.637984005140413,3609,3616
traveling,12.5,21.4709105535839,9448.27841857034,9807.70618087132,359.427762300978,91.2230876500227,90.8878368504742,-0.335250799548575,12.7950144977453,,,3616,3741
planning,0.8,0,9807.70618087132,9827.86894761973,20.1627667484099,90.8878368504742,90.8690584184087,-0.01877843206546,,,0.799757063329137,3741,3749
dwelling,18.7,0,9827.86894761973,10210.2001707054,382.331223085708,90.8690584184087,90.5136687576988,-0.355389660709889,,18.6909090510704,,3749,3936
planning,0.9,0,10210.2001707054,10230.7924558268,20.5922851213163,90.5136687576988,90.4945044813336,-0.0191642763652169,,,0.826246231151789,3936,3945
traveling,13.9,25.7099202643649,10230.7924558268,10641.632225676,410.839769849241,90.4945044813336,90.110879790079,-0.383624691254624,14.1914540213765,,,3945,4084
planning,0.1,0,10641.632225676,10644.0406981333,2.40847245732584,90.110879790079,90.1086364629971,-0.00224332708182828,,,0.0898784288119439,4084,4085
dwelling,19.2,0,10644.0406981333,11039.6297056299,395.589007496572,90.1086364629971,89.7406647581449,-0.367971704852195,,19.1888888824705,,4085,4277
planning,0.1,0,11039.6297056299,11042.4944560676,2.8647504376695,89.7406647581449,89.7379902237049,-0.00267453444003252,,,0.0164587358031337,4277,4278
traveling,14.1,25.7099202643649,11042.4944560676,11495.9845270857,453.490071018114,89.7379902237049,89.3138572325758,-0.424132991129113,14.321058388472,,,4278,4419
planning,0.3,0,11495.9845270857,11504.1803875581,8.19586047245866,89.3138572325758,89.3062074931,-0.00764973947576664,,,0.252467188538545,4419,4422
dwelling,16.8,0,11504.1803875581,11934.1692420074,429.988854449246,89.3062074931,88.9051069091368,-0.401100583963242,,16.7545454542371,,4422,4590
planning,0.4,0,11934.1692420074,11945.8725963927,11.7033543853486,88.9051069091368,88.8941702615788,-0.0109366475579549,,,0.317775703208627,4590,4594
traveling,9.99999999999998,15.1327459504216,11945.8725963927,12285.6764198109,339.803823418186,88.8941702615788,88.575885569878,-0.318284691700796,10.2490716293979,,,4594,4694
planning,0.9,0,12285.6764198109,12311.5224757503,25.8460559393716,88.575885569878,88.5517319733977,-0.0241535964803603,,,0.860502067339488,4694,4703
dwelling,18.4,0,12311.5224757503,12752.4742461839,440.951770433614,88.5517319733977,88.1404308502909,-0.411301123106782,,18.3333333133511,,4703,4887
planning,0.4,0,12752.4742461839,12764.4190415346,11.9447953507461,88.1404308502909,88.1292585533771,-0.0111722969137844,,,0.392801498201076,4887,4891
traveling,10.2,15.1327459504216,12764.4190415346,13074.5855698815,310.166528346885,88.1292585533771,87.8390335694911,-0.290224983885977,10.5132752406068,,,4891,4993
planning,0.8,0,13074.5855698815,13096.0005876623,21.4150177807824,87.8390335694911,87.8190261432798,-0.0200074262113645,,,0.782382007156167,4993,5001
dwelling,13.6,0,13096.0005876623,13392.077799645,296.077211982674,87.8190261432798,87.5429815352991,-0.276044607980623,,13.5272727172518,,5001,5137
planning,0.5,0,13392.077799645,13404.6771156697,12.5993160247453,87.5429815352991,87.5312158036297,-0.0117657316694135,,,0.456217814371606,5137,5142
traveling,12.2,21.4709105535839,13404.6771156697,13765.5715391606,360.89442349091,87.5312158036297,87.1934593032691,-0.337756500360641,12.4012068797217,,,5142,5264
planning,0.1,0,13765.5715391606,13768.3513778775,2.77983871689321,87.1934593032691,87.1908596011303,-0.00259970213875249,,,0.0876792989587158,5264,5265
dwelling,28.9000000000001,0,13768.3513778775,14493.8097412655,725.458363388003,87.1908596011303,86.5130221005341,-0.677837500596212,,28.8764704740514,,5265,5554
planning,0.9,0,14493.8097412655,14520.1468952039,26.3371539384079,86.5130221005341,86.4883607526318,-0.0246613479022955,,,0.898326109184198,5554,5563
traveling,12.5,21.4709105535839,14520.1468952039,14916.8433688117,396.696473607713,86.4883607526318,86.1163908409485,-0.371969911683323,12.7950144977442,,,5563,5688
planning,0.6,0,14916.8433688117,14931.6513855321,14.8080167204025,86.1163908409485,86.1025488946251,-0.0138419463234243,,,0.528052874230098,5688,5694
dwelling,19.2,0,14931.6513855321,15369.4001436463,437.74875811427,86.1025488946251,85.6936188711874,-0.408930023437733,,19.1090909090643,,5694,5886
planning,0.5,0,15369.4001436463,15381.8902828309,12.4901391845342,85.6936188711874,85.6819375978241,-0.0116812733632798,,,0.46520818963537,5886,5891
