phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.89999999999998,19,0,305.853091101596,305.853091101596,100,99.7160866301258,-0.283913369874156,10,,,1,100
planning,1,0,305.853091101596,331.693859572834,25.8407684712382,99.7160866301258,99.6921531615273,-0.0239334685985853,,,0.997369804682924,100,110
dwelling,5.7,0,331.693859572834,456.4543473943,124.760487821466,99.6921531615273,99.5767961765946,-0.115356984932617,,5.65555552958098,,110,167
planning,0.4,0,456.4543473943,466.398826398434,9.94447900413371,99.5767961765946,99.5675889900074,-0.00920718658728958,,,0.342621426559577,167,171
traveling,10.8,25.0798724079689,466.398826398434,793.843503817452,327.444677419019,99.5675889900074,99.2636342122401,-0.303954777767245,10.9510114637221,,,171,279
planning,0.5,0,793.843503817452,805.600326607488,11.7568227900355,99.2636342122401,99.2527535717951,-0.010880640444995,,,0.42790545975978,279,284
dwelling,10.8,0,805.600326607488,1043.47629800447,237.875971396986,99.2527535717951,99.0327324024061,-0.220021169389014,,10.790909090233,,284,392
planning,0.7,0,1043.47629800447,1060.90167671074,17.4253787062714,99.0327324024061,99.0165937474257,-0.0161386549804234,,,0.655809503768107,392,399
traveling,6.09999999999999,9,1060.90167671074,1240.68345803657,179.781781325821,99.0165937474257,98.8497321420321,-0.166861605393578,6.17078546632674,,,399,460
planning,0.5,0,1240.68345803657,1255.07671047233,14.393252435769,98.8497321420321,98.8363774289228,-0.0133547131093223,,,0.487884997789264,460,465
dwelling,6,0,1255.07671047233,1406.33928969728,151.262579224943,98.8363774289228,98.6962421924234,-0.140135236499376,,5.93333332715822,,465,525
planning,0.8,0,1406.33928969728,1429.14114491593,22.8018552186529,98.6962421924234,98.6750862675848,-0.0211559248386095,,,0.769485733130628,525,533
traveling,6.19999999999999,9,1429.14114491593,1625.08174115868,195.940596242748,98.6750862675848,98.4930250949513,-0.182061172633524,6.37952034872984,,,533,595
planning,1,0,1625.08174115868,1652.20506755075,27.1233263920717,98.4930250949513,98.4678720140803,-0.0251530808709362,,,0.996998058351202,595,605
dwelling,6,0,1652.20506755075,1795.58346921128,143.378401660533,98.4678720140803,98.3350897402409,-0.132782273839382,,5.94545453194957,,605,665
planning,0.1,0,1795.58346921128,1798.02892784911,2.44545863782332,98.3350897402409,98.3328243920277,-0.00226534821327107,,,0.0790203407738992,665,666
traveling,10.1,23.6008474424119,1798.02892784911,2114.38445604123,316.355528192127,98.3328243920277,98.038813878327,-0.294010513700712,10.2392459611591,,,666,767
planning,0.1,0,2114.38445604123,2117.05020233598,2.66574629474871,98.038813878327,98.03634163692,-0.00247224140699132,,,0.029429267833897,767,768
dwelling,15.2,0,2117.05020233598,2494.9384153672,377.88821303122,98.03634163692,97.6861193011723,-0.350222335747659,,15.1823529141882,,768,920
planning,0.4,0,2494.9384153672,2505.84300415039,10.9045887831849,97.6861193011723,97.6760014107017,-0.0101178904706103,,,0.34043943598376,920,924
traveling,10.4,23.6008474424119,2505.84300415039,2827.83602521527,321.993021064884,97.6760014107017,97.3766898662777,-0.299311544423958,10.548060670557,,,924,1028
planning,1,0,2827.83602521527,2852.30033508248,24.4643098672109,97.3766898662777,97.3540139948801,-0.0226758713976665,,,0.984553345270086,1028,1038
dwelling,12.1,0,2852.30033508248,3123.2438579093,270.943522826819,97.3540139948801,97.1030846982734,-0.250929296606628,,12.0181818072302,,1038,1159
planning,0.5,0,3123.2438579093,3135.92685009574,12.6829921864373,97.1030846982734,97.0913223359991,-0.0117623622743821,,,0.448022111946579,1159,1164
traveling,5.9,9,3135.92685009574,3318.36615915853,182.439309062796,97.0913223359991,96.9216835554268,-0.169638780572242,6.07070555289345,,,1164,1223
planning,0.9,0,3318.36615915853,3343.00757684286,24.6414176843296,96.9216835554268,96.898807844847,-0.022875710579811,,,0.817081864872816,1223,1232
dwelling,6.69999999999999,0,3343.00757684286,3506.06711617328,163.059539330417,96.898807844847,96.7476269845513,-0.151180860295739,,6.69999999370824,,1232,1299
planning,0.9,0,3506.06711617328,3531.28826664946,25.2211504761799,96.7476269845513,96.7242038441662,-0.0234231403850913,,,0.895852878447674,1299,1308
traveling,6.19999999999999,9,3531.28826664946,3720.02806025375,188.739793604292,96.7242038441662,96.548715387466,-0.175488456700165,6.37951995427562,,,1308,1370
planning,0.6,0,3720.02806025375,3736.01577401517,15.9877137614217,96.548715387466,96.5338746742678,-0.0148407131981685,,,0.55238477789371,1370,1376
dwelling,6.79999999999999,0,3736.01577401517,3892.75925831602,156.743484300847,96.5338746742678,96.3885977145681,-0.145276959699714,,6.74545452659237,,1376,1444
planning,0.5,0,3892.75925831602,3906.09254104602,13.3332827300028,96.3885977145681,96.3762196307128,-0.0123780838553103,,,0.421982719637186,1444,1449
traveling,10.6,25.0798724079689,3906.09254104602,4249.71427723539,343.621736189362,96.3762196307128,96.0563419589317,-0.319877671781114,10.7534528282748,,,1449,1555
planning,0.3,0,4249.71427723539,4257.71037076145,7.99609352606421,96.0563419589317,96.0489171679666,-0.00742479096513193,,,0.2692757144189,1555,1558
dwelling,15.1,0,4257.71037076145,4608.67456030206,350.964189540608,96.0489171679666,95.7234811256356,-0.325436042330992,,15.0111111092567,,1558,1709
planning,0.6,0,4608.67456030206,4624.41997895699,15.7454186549339,95.7234811256356,95.708860181803,-0.01462094383254,,,0.531355835790362,1709,1715
traveling,10.8,25.0798724079689,4624.41997895699,4963.17881425,338.758835293002,95.708860181803,95.3935268405481,-0.315333341254913,10.9621876613467,,,1715,1823
planning,0.9,0,4963.17881425,4988.31509709984,25.1362828498413,95.3935268405481,95.3701631459508,-0.0233636945973643,,,0.834661156941423,1823,1832
dwelling,12.6,0,4988.31509709984,5282.2176327924,293.902535692562,95.3701631459508,95.0975109016085,-0.272652244342297,,12.5181817933023,,1832,1958
planning,0.8,0,5282.2176327924,5302.78427512758,20.5666423351813,95.0975109016085,95.0784096509311,-0.0191012506774086,,,0.712012479928026,1958,1966
traveling,10.3,23.6008474424119,5302.78427512758,5614.61442641428,311.830151286697,95.0784096509311,94.7881355920695,-0.290274058861556,10.4479805127393,,,1966,2069
planning,0.1,0,5614.61442641428,5617.1387096697,2.5242832554186,94.7881355920695,94.7857911808973,-0.00234441117221706,,,0.0919634351045944,2069,2070
dwelling,20,0,5617.1387096697,6058.06536837702,440.926658707328,94.7857911808973,94.37676484973,-0.40902633116734,,19.9999999141212,,2070,2270
planning,0.4,0,6058.06536837702,6070.27057439194,12.2052060149172,94.37676484973,94.3653995786336,-0.0113652710963237,,,0.373006683946956,2270,2274
traveling,10.4,23.6008474424119,6070.27057439194,6418.00374038072,347.733165988783,94.3653995786336,94.0410954912117,-0.324304087421922,10.5480606705484,,,2274,2378
planning,0.8,0,6418.00374038072,6437.91375625042,19.9100158696965,94.0410954912117,94.0225975339883,-0.018497957223417,,,0.730809554925397,2378,2386
dwelling,14,0,6437.91375625042,6731.24912159259,293.335365342174,94.0225975339883,93.7505111396111,-0.272086394377141,,13.9999999558675,,2386,2526
planning,0.9,0,6731.24912159259,6753.10788419669,21.8587626040971,93.7505111396111,93.7302039669576,-0.0203071726535171,,,0.888324812318731,2526,2535
traveling,5.9,9,6753.10788419669,6907.09551533494,153.987631138248,93.7302039669576,93.587022205584,-0.143181761373654,6.07070568774711,,,2535,2594
planning,0.9,0,6907.09551533494,6929.10709539141,22.0115800564727,93.587022205584,93.5665691690483,-0.0204530365356845,,,0.873012988052617,2594,2603
dwelling,13.4,0,6929.10709539141,7216.38097320512,287.273877813705,93.5665691690483,93.2999565715038,-0.266612597544508,,13.3222221706697,,2603,2737
planning,1,0,7216.38097320512,7240.1593176714,23.7783444662855,93.2999565715038,93.2778640150641,-0.0220925564396879,,,0.940316661950885,2737,2747
traveling,6.19999999999999,9,7240.1593176714,7405.43229714742,165.272979476022,93.2778640150641,93.1240954691465,-0.153768545917572,6.37952034892449,,,2747,2809
planning,0.5,0,7405.43229714742,7419.33001374344,13.8977165960205,93.1240954691465,93.111158454594,-0.0129370145525201,,,0.483758969996387,2809,2814
dwelling,9.39999999999998,0,7419.33001374344,7649.66661743274,230.336603689298,93.111158454594,92.8970392198034,-0.214119234790559,,9.31818181705717,,2814,2908
planning,0.4,0,7649.66661743274,7660.96742772176,11.3008102890217,92.8970392198034,92.8865157581858,-0.0105234616176517,,,0.374183047590546,2908,2912
traveling,10.6,25.0798724079689,7660.96742772176,8016.70374966893,355.736321947167,92.8865157581858,92.5543863832121,-0.332129374973732,10.7534528174103,,,2912,3018
planning,0.5,0,8016.70374966893,8030.95280371287,14.2490540439358,92.5543863832121,92.541112663043,-0.0132737201690531,,,0.401603024028284,3018,3023
dwelling,14,0,8030.95280371287,8373.29164979955,342.338846086681,92.541112663043,92.2227378130634,-0.318374849979577,,13.9111111108099,,3023,3163
planning,0.8,0,8373.29164979955,8394.35496565378,21.0633158542296,92.2227378130634,92.2031304536949,-0.0196073593685497,,,0.707024165343055,3163,3171
