phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.89999999999998,24.2074368738204,0,302.185075526345,302.185075526345,100,99.7195369529637,-0.280463047036321,10,,,1,100
planning,0.9,0,302.185075526345,323.214676243457,21.0296007171117,99.7195369529637,99.7000807365786,-0.0194562163850946,,,0.865850165633298,100,109
dwelling,5.8,0,323.214676243457,451.780363053158,128.565686809702,99.7000807365786,99.581190436855,-0.118890299723589,,5.75555551861829,,109,167
planning,0.4,0,451.780363053158,461.644103480941,9.86374042778311,99.581190436855,99.5720588313375,-0.00913160551750991,,,0.349384821464925,167,171
traveling,15.3,29.1547594742265,461.644103480941,906.41380061128,444.769697130338,99.5720588313375,99.1593889512056,-0.412669880131844,15.53818391824,,,171,324
planning,0.9,0,906.41380061128,926.606204685912,20.1924040746322,99.1593889512056,99.140709078074,-0.0186798731316031,,,0.830090483715811,324,333
dwelling,12.1,0,926.606204685912,1163.76404883317,237.157844147259,99.140709078074,98.9215689633653,-0.219140114708765,,12.0272727268975,,333,454
planning,0.6,0,1163.76404883317,1177.2562387433,13.4921899101328,98.9215689633653,98.9090854746393,-0.0124834887259624,,,0.565994265736509,454,460
traveling,8.29999999999999,10,1177.2562387433,1405.1493705028,227.893131759492,98.9090854746393,98.6977396704112,-0.211345804228131,8.54569394970834,,,460,543
planning,0.1,0,1405.1493705028,1407.73859028886,2.58921978606145,98.6977396704112,98.6953401383414,-0.0023995320697594,,,0.0117269902316227,543,544
dwelling,11.3,0,1407.73859028886,1659.90480765433,252.166217365471,98.6953401383414,98.4619961708071,-0.233343967534296,,11.2294117432821,,544,657
planning,0.2,0,1659.90480765433,1665.07751230437,5.1727046500389,98.4619961708071,98.4572018127187,-0.00479435808840378,,,0.141186928291872,657,659
traveling,8.39999999999999,10,1665.07751230437,1891.46902166559,226.391509361223,98.4572018127187,98.2472460483041,-0.20995576441463,8.6153318119627,,,659,743
planning,0.4,0,1891.46902166559,1900.84310595759,9.37408429199581,98.2472460483041,98.2385657814426,-0.00868026686150358,,,0.361958391321321,743,747
dwelling,9.69999999999998,0,1900.84310595759,2129.23830577481,228.395199817224,98.2385657814426,98.0270466397225,-0.211519141720061,,9.67272725802626,,747,844
planning,0.3,0,2129.23830577481,2137.46041493055,8.22210915573805,98.0270466397225,98.019418779443,-0.00762786027955542,,,0.265440671714722,844,847
traveling,7.89999999999999,9.21954445729289,2137.46041493055,2358.95104944884,221.490634518292,98.019418779443,97.8138636498743,-0.205555129568623,7.80580681096017,,,847,926
planning,0.2,0,2358.95104944884,2364.14089749347,5.18984804462798,97.8138636498743,97.8090513817438,-0.00481226813050739,,,0.172760097347866,926,928
dwelling,11.5,0,2364.14089749347,2664.996292377,300.855394883536,97.8090513817438,97.5300036115445,-0.279047770199341,,11.4111110889246,,928,1043
planning,0.7,0,2664.996292377,2687.73404902045,22.7377566434502,97.5300036115445,97.5088552376344,-0.021148373910151,,,0.613414685594222,1043,1050
traveling,7.99999999999999,9.21954445729289,2687.73404902045,2957.02615352656,269.292104506108,97.5088552376344,97.2582264214477,-0.250628816186662,8.29482393928267,,,1050,1130
planning,0.4,0,2957.02615352656,2969.13982683457,12.1136733080098,97.2582264214477,97.2469686751567,-0.011257746290994,,,0.311859011728511,1130,1134
