phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.89999999999998,19,0,317.008188050277,317.008188050277,100,99.7055668732043,-0.294433126795738,10,,,1,100
planning,1,0,317.008188050277,346.443446035649,29.4352579853717,99.7055668732043,99.6782607691562,-0.0273061040480513,,,0.903477456559327,100,110
dwelling,5.7,0,346.443446035649,482.975766833666,136.532320798018,99.6782607691562,99.5519033735228,-0.126357395633391,,5.65555552958098,,110,167
planning,0.1,0,482.975766833666,485.421998687454,2.44623185378731,99.5519033735228,99.5496388779355,-0.00226449558736874,,,0.0146943748334968,167,168
traveling,12.6,25.7099202643649,485.421998687454,865.747816969366,380.325818281912,99.5496388779355,99.1966028139235,-0.353036064011945,12.6921421330642,,,168,294
planning,0.1,0,865.747816969366,868.390594937772,2.64277796840622,99.1966028139235,99.1941537694209,-0.00244904450262595,,,0.0900790935444177,294,295
dwelling,11.8,0,868.390594937772,1125.58232810645,257.191733168675,99.1941537694209,98.9562807617993,-0.237873007621616,,11.7363636365022,,295,413
planning,0.6,0,1125.58232810645,1140.9454348962,15.3631067897547,98.9562807617993,98.9420470118287,-0.0142337499705718,,,0.55994554758752,413,419
traveling,11.1,21.4709105535839,1140.9454348962,1464.65048317477,323.70504827857,98.9420470118287,98.6416243228506,-0.300422688978102,11.2581434020053,,,419,530
planning,0.1,0,1464.65048317477,1467.21699548673,2.56651231195974,98.6416243228506,98.639245995205,-0.00237832764558732,,,0.0803628831838404,530,531
dwelling,11,0,1467.21699548673,1701.04521751133,233.828222024594,98.639245995205,98.4229652411889,-0.216280754016068,,10.9999999844465,,531,641
planning,1,0,1701.04521751133,1725.74767569502,24.7024581836927,98.4229652411889,98.4000803880123,-0.0228848531766346,,,0.982317844994004,641,651
traveling,11.2,21.4709105535839,1725.74767569502,2073.20931121199,347.461635516973,98.4000803880123,98.0772352934578,-0.322845094554452,11.3733466176607,,,651,763
