phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.79999999999998,14.142135623731,0,289.595204728964,289.595204728964,100,99.7313577158833,-0.26864228411668,10,,,1,99
planning,0.6,0,289.595204728964,306.900418205992,17.3052134770278,99.7313577158833,99.7153087482471,-0.0160489676362232,,,0.572239218412685,99,105
dwelling,2.9,0,306.900418205992,382.535530564911,75.6351123589189,99.7153087482471,99.6452478424153,-0.0700609058318378,,2.89411762230378,,105,134
planning,1,0,382.535530564911,413.311817601331,30.7762870364198,99.6452478424153,99.6166797360924,-0.0285681063228367,,,0.973704902674984,134,144
traveling,4.8,10,413.311817601331,598.600024951626,185.288207350295,99.6166797360924,99.4440390910668,-0.172640645025666,4.70775565617266,,,144,192
planning,0.6,0,598.600024951626,616.307263986505,17.7072390348793,99.4440390910668,99.4276097723984,-0.0164293186683295,,,0.579884973281289,192,198
dwelling,7.49999999999999,0,616.307263986505,804.606543702828,188.299279716323,99.4276097723984,99.253229166488,-0.174380605910414,,7.49999995067474,,198,273
planning,0.7,0,804.606543702828,824.411090437229,19.8045467344009,99.253229166488,99.2348618260426,-0.0183673404453657,,,0.699133559301209,273,280
traveling,5.5,14.142135623731,824.411090437229,1019.92372596828,195.512635531047,99.2348618260426,99.0529020114354,-0.181959814607197,5.56404680009678,,,280,335
planning,0.3,0,1019.92372596828,1027.54171623538,7.61799026710503,99.0529020114354,99.0458450972896,-0.00705691414587761,,,0.237868792007306,335,338
dwelling,9.59999999999998,0,1027.54171623538,1246.9945407439,219.452824508516,99.0458450972896,98.8427678502597,-0.203077247029881,,9.54999998852762,,338,434
planning,0.2,0,1246.9945407439,1252.13538934464,5.14084860074263,98.8427678502597,98.8380044120498,-0.004763438209892,,,0.189471481685439,434,436
traveling,5.6,14.142135623731,1252.13538934464,1437.68862060901,185.553231264368,98.8380044120498,98.6654640854354,-0.172540326614367,5.64258757868248,,,436,492
planning,0.5,0,1437.68862060901,1450.77650567285,13.0878850638451,98.6654640854354,98.653333245086,-0.0121308403493856,,,0.402329867986601,492,497
