phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.89999999999998,19,0,312.066796939728,312.066796939728,100,99.7102379011512,-0.289762098848826,10,,,1,100
planning,0.2,0,312.066796939728,317.961917461372,5.89512052164389,99.7102379011512,99.7047691544134,-0.00546874673781872,,,0.107176629069189,100,102
dwelling,6.49999999999999,0,317.961917461372,494.597934416078,176.636016954706,99.7047691544134,99.5410658989287,-0.16370325548462,,6.45555550839485,,102,167
planning,1,0,494.597934416078,524.289250484924,29.6913160688459,99.5410658989287,99.5135166247963,-0.0275492741323973,,,0.94651837856027,167,177
traveling,9.19999999999998,25.0798724079689,524.289250484924,822.106372114481,297.817121629557,99.5135166247963,99.2368166790167,-0.276699945779654,9.38658131358309,,,177,269
planning,0.9,0,822.106372114481,844.574095380178,22.4677232656974,99.2368166790167,99.2160097121094,-0.0208069669072586,,,0.845980667765488,269,278
dwelling,10.1,0,844.574095380178,1077.69479116325,233.120695783074,99.2160097121094,99.0002825435758,-0.215727168533576,,10.0272727122794,,278,379
planning,0.9,0,1077.69479116325,1101.88538128275,24.1905901194993,99.0002825435758,98.9778581047731,-0.0224244388027017,,,0.859493713640645,379,388
traveling,5.2,9,1101.88538128275,1270.28206152023,168.396680237483,98.9778581047731,98.8213548524932,-0.156503252279961,5.28924399042132,,,388,440
planning,1,0,1270.28206152023,1299.37516793541,29.0931064151728,98.8213548524932,98.79435670395,-0.0269981485432282,,,0.935407751321231,440,450
dwelling,5.3,0,1299.37516793541,1429.16197887655,129.786810941147,98.79435670395,98.6741540154877,-0.120202688462285,,5.21111111042213,,450,503
planning,0.2,0,1429.16197887655,1434.82960949243,5.66763061587108,98.6741540154877,98.6688958524905,-0.00525816299720816,,,0.158523196301877,503,505
traveling,5.3,9,1434.82960949243,1597.80549533498,162.975885842551,98.6688958524905,98.5175171098771,-0.151378742613332,5.46816035879891,,,505,558
planning,0.2,0,1597.80549533498,1602.69505958705,4.88956425207766,98.5175171098771,98.5129881580351,-0.0045289518420617,,,0.103385049286783,558,560
dwelling,5.8,0,1602.69505958705,1733.30552433243,130.610464745374,98.5129881580351,98.392107483943,-0.120880674092078,,5.79999999514003,,560,618
planning,0.9,0,1733.30552433243,1756.2404491057,22.9349247732746,98.392107483943,98.3708525809047,-0.0212549030383258,,,0.895545116708848,618,627
traveling,8.59999999999999,23.6008474424119,1756.2404491057,2033.91505293478,277.674603829078,98.3708525809047,98.112696380429,-0.258156200475639,8.77649669077144,,,627,713
planning,0.9,0,2033.91505293478,2060.14000070536,26.2249477705768,98.112696380429,98.0883492184858,-0.0243471619432682,,,0.801837920527951,713,722
dwelling,13.5,0,2060.14000070536,2387.78971419325,327.649713487893,98.0883492184858,97.7847807282295,-0.303568490256254,,13.4294117335326,,722,857
planning,0.7,0,2387.78971419325,2405.17529047668,17.3855762834282,97.7847807282295,97.7686675619003,-0.016113166329248,,,0.655878284588928,857,864
traveling,8.89999999999998,23.6008474424119,2405.17529047668,2686.56736866124,281.392078184566,97.7686675619003,97.507044731509,-0.261622830391261,9.04119492042759,,,864,953
planning,0.3,0,2686.56736866124,2694.57778265586,8.01041399461246,97.507044731509,97.4996132551616,-0.00743147634739216,,,0.241092602400897,953,956
dwelling,11.5,0,2694.57778265586,2973.62451317608,279.046730520218,97.4996132551616,97.2409896232204,-0.258623631941248,,11.4090908800568,,956,1071
planning,0.6,0,2973.62451317608,2990.66823086638,17.043717690306,97.2409896232204,97.2251631675687,-0.0158264556516201,,,0.555187013220226,1071,1077
traveling,5.1,9,2990.66823086638,3154.96554312116,164.297312254776,97.2251631675687,97.0723280774412,-0.152835090127539,5.20346203207381,,,1077,1128
planning,1,0,3154.96554312116,3181.15818884229,26.1926457211302,97.0723280774412,97.0480272945511,-0.0243007828900659,,,0.971357666239437,1128,1138
dwelling,5.9,0,3181.15818884229,3330.99296193232,149.834773090033,97.0480272945511,96.9090548231711,-0.138972471380015,,5.85555552888552,,1138,1197
planning,1,0,3330.99296193232,3358.93812114616,27.9451592138389,96.9090548231711,96.8831053371593,-0.0259494860118679,,,0.90890937583534,1197,1207
traveling,5.3,9,3358.93812114616,3527.42610527952,168.487984133365,96.8831053371593,96.7263630403023,-0.156742296856905,5.46816035830835,,,1207,1260
