phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.79999999999998,14.422205101856,0,275.488279795776,275.488279795776,100,99.7446113351714,-0.255388664828558,10,,,1,99
planning,0.4,0,275.488279795776,286.022789504439,10.5345097086638,99.7446113351714,99.7348524291477,-0.00975890602376239,,,0.347386200849774,99,103
dwelling,2.1,0,286.022789504439,333.02688012889,47.0040906244504,99.7348524291477,99.691383678717,-0.0434687504306623,,2.02222221886239,,103,124
planning,0.2,0,333.02688012889,338.040343440408,5.01346331151854,99.691383678717,99.6867418003315,-0.00464187838548469,,,0.183514485161252,124,126
traveling,5.3,12.369316876853,338.040343440408,494.605118839549,156.56477539914,99.6867418003315,99.5414736785172,-0.145268121814325,5.25365274379396,,,126,179
planning,0.8,0,494.605118839549,512.773812923352,18.1686940838034,99.5414736785172,99.5246675082712,-0.0168061702460136,,,0.739587812105905,179,187
dwelling,6.89999999999999,0,512.773812923352,667.189643056373,154.415830133021,99.5246675082712,99.3818446794699,-0.142822828801343,,6.86666661092714,,187,256
planning,0.2,0,667.189643056373,672.167602799794,4.97795974342034,99.3818446794699,99.3772352278334,-0.00460945163644055,,,0.134047544534136,256,258
traveling,4.1,7.61577310586391,672.167602799794,804.57041376569,132.402810965896,99.3772352278334,99.2542077185884,-0.123027509244992,4.12482903419791,,,258,299
planning,0.1,0,804.57041376569,807.284681197996,2.71426743230586,99.2542077185884,99.2516917148692,-0.00251600371922223,,,0.0169623843107171,299,300
dwelling,6.99999999999999,0,807.284681197996,985.45810950859,178.173428310595,99.2516917148692,99.0866460837043,-0.165045631164887,,6.92352936591043,,300,370
planning,0.7,0,985.45810950859,1004.80550176897,19.3473922603788,99.0866460837043,99.0687061691521,-0.0179399145522012,,,0.672041413228347,370,377
traveling,5.8,15.0332963783729,1004.80550176897,1228.70672759397,223.901225825003,99.0687061691521,98.8599899881535,-0.208716180998564,5.77367345406047,,,377,435
planning,0.5,0,1228.70672759397,1243.57994756784,14.8732199738631,98.8599899881535,98.8461840779291,-0.0138059102244625,,,0.443148784503377,435,440
dwelling,7.09999999999999,0,1243.57994756784,1422.54511337405,178.965165806215,98.8461840779291,98.68038515409,-0.165798923839063,,7.0090908457913,,440,511
planning,0.1,0,1422.54511337405,1425.38602359414,2.84091022009034,98.68038515409,98.6777494192139,-0.00263573487613655,,,0.0975340456554756,511,512
traveling,4.6,8.94427190999916,1425.38602359414,1578.84231947023,153.456295876086,98.6777494192139,98.5350378445974,-0.142711574616484,4.50393663051478,,,512,558
planning,0.6,0,1578.84231947023,1595.31884330008,16.4765238298569,98.5350378445974,98.5197563162263,-0.0152815283710765,,,0.572756915422438,558,564
