phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.89999999999998,19,0,279.136118134058,279.136118134058,100,99.7412095493282,-0.258790450671825,10,,,1,100
planning,0.2,0,279.136118134058,283.754946318892,4.6188281848348,99.7412095493282,99.7369368741798,-0.00427267514832863,,,0.191515150115876,100,102
dwelling,6.49999999999999,0,283.754946318892,414.251900903726,130.496954584834,99.7369368741798,99.6163729514738,-0.120563922706026,,6.45555550839485,,102,167
planning,0.8,0,414.251900903726,433.858698446082,19.6067975423557,99.6163729514738,99.5982229753385,-0.0181499761353336,,,0.760600113073077,167,175
traveling,15.6,25.7099202643649,433.858698446082,827.323913311702,393.46521486562,99.5982229753385,99.2338223036775,-0.364400671660974,15.8651780559443,,,175,331
planning,1,0,827.323913311702,849.603094951227,22.2791816395248,99.2338223036775,99.2132142179324,-0.0206080857451525,,,0.98252086319152,331,341
dwelling,12.2,0,849.603094951227,1098.46356369999,248.860468748762,99.2132142179324,98.9831779020462,-0.23003631588621,,12.1818181799001,,341,463
planning,0.3,0,1098.46356369999,1106.27717907587,7.8136153758835,98.9831779020462,98.9759374068711,-0.00724049517504,,,0.284974554781107,463,466
traveling,13.8,21.4709105535839,1106.27717907587,1525.68158890935,419.404409833478,98.9759374068711,98.5864689803387,-0.389468426532432,14.0726790225641,,,466,604
planning,0.5,0,1525.68158890935,1540.59409641203,14.9125075026768,98.5864689803387,98.5726239905682,-0.0138449897704476,,,0.467569346091352,604,609
dwelling,12,0,1540.59409641203,1844.92244923022,304.328352818189,98.5726239905682,98.2906090915415,-0.282014899026734,,11.9058823350216,,609,729
planning,0.1,0,1844.92244923022,1847.67362819664,2.75117896642155,98.2906090915415,98.2880570372108,-0.0025520543306925,,,0.0117081646860452,729,730
traveling,14,21.4709105535839,1847.67362819664,2266.41066807178,418.737039875142,98.2880570372108,97.8991456172603,-0.388911419950546,14.21668277296,,,730,870
planning,1,0,2266.41066807178,2292.01806616447,25.6073980926926,97.8991456172603,97.8754057073792,-0.0237399098810869,,,0.985385022191805,870,880
dwelling,13.6,0,2292.01806616447,2610.70324299144,318.685176826973,97.8754057073792,97.5802120949471,-0.295193612432058,,13.5090908930634,,880,1016
planning,0.5,0,2610.70324299144,2624.67757194431,13.9743289528669,97.5802120949471,97.5672411183405,-0.0129709766066384,,,0.463004492533073,1016,1021
traveling,11,15.1327459504216,2624.67757194431,2967.8301108369,343.152538892586,97.5672411183405,97.2482079080855,-0.319033210254943,11.2438525991215,,,1021,1131
planning,0.4,0,2967.8301108369,2979.40903522065,11.578924383753,97.2482079080855,97.2374534351759,-0.0107544729095963,,,0.312386683749734,1131,1135
dwelling,13.5,0,2979.40903522065,3323.44268444515,344.033649224496,97.2374534351759,96.9183651086107,-0.319088326565279,,13.4888887844989,,1135,1270
planning,1,0,3323.44268444515,3349.64145067771,26.1987662325646,96.9183651086107,96.8940562458401,-0.0243088627705674,,,0.985545327255421,1270,1280
traveling,11.4,15.1327459504216,3349.64145067771,3682.47580457385,332.834353896142,96.8940562458401,96.584760026393,-0.309296219447106,11.6814173265597,,,1280,1394
planning,0.4,0,3682.47580457385,3692.23962617824,9.76382160438516,96.584760026393,96.5757058371453,-0.00905418924767787,,,0.365602438324411,1394,1398
dwelling,13.1,0,3692.23962617824,3936.67633666548,244.436710487247,96.5757058371453,96.3495795139803,-0.226126323165033,,13.0181818143665,,1398,1529
planning,0.3,0,3936.67633666548,3942.72888753465,6.0525508691635,96.3495795139803,96.3439764801966,-0.0056030337837143,,,0.229534859883404,1529,1532
traveling,13.5,21.4709105535839,3942.72888753465,4268.25765642685,325.5287688922,96.3439764801966,96.0420464669984,-0.301930013198117,13.7791184882455,,,1532,1667
planning,0.6,0,4268.25765642685,4282.04836177572,13.7907053488698,96.0420464669984,96.0292616564393,-0.0127848105591823,,,0.590448012510838,1667,1673
dwelling,15.9,0,4282.04836177572,4644.67349915334,362.625137377626,96.0292616564393,95.6930684106936,-0.336193245745704,,15.8294117577218,,1673,1832
planning,0.6,0,4644.67349915334,4660.20953985996,15.5360407066146,95.6930684106936,95.6786438113927,-0.0144245993008525,,,0.551774121254706,1832,1838
traveling,14,21.4709105535839,4660.20953985996,5054.33751673503,394.127976875076,95.6786438113927,95.3122792098284,-0.366364601564342,14.2166827729594,,,1838,1978
planning,0.7,0,5054.33751673503,5070.79047388672,16.452957151686,95.3122792098284,95.2970156193593,-0.0152635904691039,,,0.614506859814992,1978,1985
dwelling,15.4,0,5070.79047388672,5407.18473675879,336.394262872065,95.2970156193593,94.9851256144724,-0.31189000488682,,15.3727272690046,,1985,2139
planning,0.1,0,5407.18473675879,5409.63105109638,2.44631433759605,94.9851256144724,94.9828546989376,-0.00227091553480818,,,0.00257147722211826,2139,2140
traveling,15.5,25.7099202643649,5409.63105109638,5857.93112285381,448.300071757425,94.9828546989376,94.5657889651661,-0.417065733771523,15.7682829325312,,,2140,2295
planning,0.2,0,5857.93112285381,5863.03484982449,5.10372697068397,94.5657889651661,94.5610476182169,-0.00474134694921702,,,0.159951335457846,2295,2297
dwelling,23.3000000000001,0,5863.03484982449,6425.60554868654,562.570698862047,94.5610476182169,94.0386203305919,-0.522427287625035,,23.2888887304542,,2297,2530
planning,0.4,0,6425.60554868654,6437.36160719956,11.7560585130204,94.0386203305919,94.0276762073869,-0.0109441232049647,,,0.337811616411229,2530,2534
traveling,15.6,25.7099202643649,6437.36160719956,6938.83929379479,501.477686595228,94.0276762073869,93.5601635510859,-0.467512656300954,15.912287052389,,,2534,2690
planning,0.2,0,6938.83929379479,6944.370506712,5.53121291721709,93.5601635510859,93.5550166199468,-0.00514693113909459,,,0.110748183068638,2690,2692
dwelling,19.7,0,6944.370506712,7435.00013771921,490.629631007208,93.5550166199468,93.0989511274894,-0.456065492457441,,19.6181818131685,,2692,2889
planning,0.2,0,7435.00013771921,7440.66105366689,5.66091594768113,93.0989511274894,93.0936802597538,-0.0052708677356037,,,0.134785106830681,2889,2891
traveling,11.2,15.1327459504216,7440.66105366689,7794.91341448612,354.252360819227,93.0936802597538,92.7632534220408,-0.330426837712992,11.387857237721,,,2891,3003
