phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.59999999999998,8.06225774829855,0,236.972883833536,236.972883833536,100,99.7806483788344,-0.2193516211656,10,,,1,97
planning,0.1,0,236.972883833536,239.515568416961,2.5426845834248,99.7806483788344,99.7782938973679,-0.00235448146651152,,,0.0549221079755381,97,98
dwelling,3.8,0,239.515568416961,322.379402749986,82.8638343330254,99.7782938973679,99.7016830274856,-0.076610869882316,,3.79999997335569,,98,136
planning,0.7,0,322.379402749986,339.735821462812,17.3564187128259,99.7016830274856,99.6856149669809,-0.0160680605046224,,,0.680689649336119,136,143
traveling,4.6,9.48683298050514,339.735821462812,480.042992789724,140.307171326912,99.6856149669809,99.5553733251829,-0.130241641798008,4.5326966175652,,,143,189
planning,0.7,0,480.042992789724,497.515537068127,17.4725442784024,99.5553733251829,99.5391952350364,-0.0161780901465676,,,0.607934489855719,189,196
dwelling,7.29999999999999,0,497.515537068127,671.691486821757,174.175949753631,99.5391952350364,99.377991595253,-0.161203639783423,,7.29999995098514,,196,269
planning,0.6,0,671.691486821757,688.597369979787,16.9058831580301,99.377991595253,99.362314487492,-0.0156771077609505,,,0.574616372424446,269,275
traveling,4.8,9.89949493661167,688.597369979787,840.360912929401,151.763542949614,99.362314487492,99.2213478363856,-0.140966651106382,4.71740110022631,,,275,323
planning,1,0,840.360912929401,867.491318074703,27.1304051453019,99.2213478363856,99.1961986575371,-0.0251491788484799,,,0.924870341184491,323,333
dwelling,6.49999999999999,0,867.491318074703,1022.03271716864,154.541399093933,99.1961986575371,99.0531415730048,-0.14305708453233,,6.44705882232519,,333,398
planning,0.5,0,1022.03271716864,1036.22598815047,14.1932709818295,99.0531415730048,99.0399762761877,-0.0131652968170783,,,0.446756994734423,398,403
traveling,3.2,4.47213595499958,1036.22598815047,1149.28208989871,113.056101748243,99.0399762761877,98.9347666121699,-0.105209664017821,3.17995344464926,,,403,435
planning,0.9,0,1149.28208989871,1176.60747417178,27.3253842730712,98.9347666121699,98.9093963566589,-0.0253702555110209,,,0.805342396416802,435,444
