phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.89999999999998,24.2074368738204,0,306.646816734194,306.646816734194,100,99.7153498838411,-0.284650116158915,10,,,1,100
planning,0.6,0,306.646816734194,322.224129781407,15.5773130472124,99.7153498838411,99.7009215921604,-0.0144282916806588,,,0.519462229093494,100,106
dwelling,6.1,0,322.224129781407,456.597866580858,134.373736799452,99.7009215921604,99.5766685446013,-0.12425304755908,,6.05555552481622,,106,167
planning,1,0,456.597866580858,481.039995381947,24.4421288010888,99.5766685446013,99.5540426291514,-0.0226259154499076,,,0.988496828687789,167,177
traveling,17,29.1547594742265,481.039995381947,937.68963651308,456.649641131133,99.5540426291514,99.130813690098,-0.423228939053473,17.264648357504,,,177,347
planning,0.1,0,937.68963651308,940.275292354616,2.58565584153655,99.130813690098,99.1284180934236,-0.00239559667434719,,,0.0385645757728771,347,348
dwelling,13.7,0,940.275292354616,1266.01285537438,325.737563019761,99.1284180934236,98.826868466821,-0.301549626602579,,13.6636363640328,,348,485
planning,0.1,0,1266.01285537438,1268.58129136468,2.56843599030094,98.826868466821,98.8244885910571,-0.0023798757639355,,,0.0209583509799793,485,486
traveling,9.29999999999998,10,1268.58129136468,1532.17913122967,263.597839864994,98.8244885910571,98.5799236605611,-0.244564930496011,9.49521547743538,,,486,579
planning,0.8,0,1532.17913122967,1552.01771393843,19.8385827087566,98.5799236605611,98.5615459459557,-0.0183777146053927,,,0.732439987089868,579,587
dwelling,11.2,0,1552.01771393843,1804.98962436948,252.971910431047,98.5615459459557,98.3274104465175,-0.234135499438153,,11.1647058450677,,587,699
planning,0.2,0,1804.98962436948,1809.97293552326,4.98331115378096,98.3274104465175,98.3227931973508,-0.00461724916675621,,,0.183907029451732,699,701
traveling,9.29999999999998,10,1809.97293552326,2076.61463445291,266.641698929655,98.3227931973508,98.0752954337192,-0.247497763631586,9.57259046152541,,,701,794
planning,0.3,0,2076.61463445291,2084.04863715168,7.43400269876975,98.0752954337192,98.0684068974695,-0.00688853624966157,,,0.296187644833005,794,797
dwelling,10.7,0,2084.04863715168,2335.74700802099,251.698370869313,98.0684068974695,97.835283630325,-0.233123267144592,,10.6818181818973,,797,904
