phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,9.79999999999998,10,0,280.623735501479,280.623735501479,100,99.7397816985149,-0.260218301485054,10,,,1,99
planning,0.3,0,280.623735501479,288.370917356349,7.74718185486989,99.7397816985149,99.7326065148508,-0.00717518366410275,,,0.261055357986193,99,102
dwelling,3.7,0,288.370917356349,375.050916174381,86.679998818033,99.7326065148508,99.6524086025479,-0.0801979123029639,,3.64999999774762,,102,139
planning,0.5,0,375.050916174381,388.442679997987,13.3917638236057,99.6524086025479,99.6399997294898,-0.0124088730581207,,,0.414614228916631,139,144
traveling,4.9,11.1803398874989,388.442679997987,543.396743175129,154.954063177142,99.6399997294898,99.4960898013028,-0.143909928186972,4.93215268921957,,,144,193
planning,0.2,0,543.396743175129,548.235407466771,4.83866429164209,99.4960898013028,99.4916109952023,-0.00447880610045104,,,0.157694113196506,193,195
dwelling,7.99999999999999,0,548.235407466771,730.300303676245,182.064896209474,99.4916109952023,99.3231827159608,-0.168428279241539,,7.93333331456013,,195,275
planning,0.5,0,730.300303676245,743.225244717222,12.9249410409772,99.3231827159608,99.3112090918234,-0.0119736241373545,,,0.402733870271588,275,280
traveling,4.1,7.07106781186548,743.225244717222,871.982115610562,128.756870893339,99.3112090918234,99.1916079118078,-0.119601180015636,4.04258834339049,,,280,321
planning,0.1,0,871.982115610562,874.616000629726,2.63388501916484,99.1916079118078,99.1891671970288,-0.00244071477904129,,,0.0078539041131177,321,322
dwelling,7.39999999999999,0,874.616000629726,1047.62175616653,173.005755536807,99.1891671970288,99.0290477440738,-0.160119452955001,,7.31176468611007,,322,396
planning,1,0,1047.62175616653,1071.68558155791,24.0638253913721,99.0290477440738,99.0067688103092,-0.0222789337645821,,,0.975867329803767,396,406
traveling,3.3,5,1071.68558155791,1167.02278992766,95.3372083697518,99.0067688103092,98.9183052889225,-0.0884635213866574,3.24081866787152,,,406,439
planning,0.4,0,1167.02278992766,1177.7835819611,10.7607920334472,98.9183052889225,98.9083296436938,-0.00997564522869254,,,0.335917881047363,439,443
dwelling,6.89999999999999,0,1177.7835819611,1341.57128378401,163.787701822903,98.9083296436938,98.7566962534046,-0.151633390289263,,6.84999995988331,,443,512
planning,0.4,0,1341.57128378401,1352.25906519505,10.6877814110383,98.7566962534046,98.7467881645725,-0.00990808883204863,,,0.327690161122237,512,516
traveling,5,11.1803398874989,1352.25906519505,1524.95197971487,172.692914519824,98.7467881645725,98.5860965030858,-0.16069166148668,4.99650383697192,,,516,566
planning,0.2,0,1524.95197971487,1530.42695514515,5.47497543027589,98.5860965030858,98.5810189753241,-0.00507752776177028,,,0.132543942562711,566,568
dwelling,9.19999999999999,0,1530.42695514515,1748.30511399673,217.878158851584,98.5810189753241,98.3792704470017,-0.201748528322398,,9.13333328153712,,568,660
planning,0.5,0,1748.30511399673,1760.57382373007,12.2687097333369,98.3792704470017,98.3679051599491,-0.0113652870526124,,,0.420059623385689,660,665
traveling,4.9,11.1803398874989,1760.57382373007,1904.67428614233,144.100462412258,98.3679051599491,98.2341069148117,-0.133798245137314,4.95013872844428,,,665,714
planning,0.6,0,1904.67428614233,1918.80797460012,14.1336884577913,98.2341069148117,98.2210185257029,-0.0130883891088303,,,0.562239851840567,714,720
dwelling,7.89999999999999,0,1918.80797460012,2083.85640397891,165.048429378794,98.2210185257029,98.0683435772016,-0.152674948501328,,7.87777777253304,,720,799
planning,0.8,0,2083.85640397891,2102.80228781019,18.9458838312739,98.0683435772016,98.0507961498411,-0.0175474273604834,,,0.719475309856935,799,807
traveling,4.7,10,2102.80228781019,2230.62837225462,127.826084444439,98.0507961498411,97.9322061456226,-0.118590004218461,4.67558057450703,,,807,854
planning,0.5,0,2230.62837225462,2241.81284985853,11.1844776039102,97.9322061456226,97.9218524112089,-0.010353734413755,,,0.472942176618145,854,859
dwelling,7.79999999999999,0,2241.81284985853,2400.20258386533,158.389734006793,97.9218524112089,97.7753523478479,-0.146500063361032,,7.7999999742493,,859,937
planning,1,0,2400.20258386533,2422.2993590562,22.0967751908688,97.7753523478479,97.7548972603646,-0.0204550874832279,,,0.929087680487786,937,947
traveling,3.4,5,2422.2993590562,2515.26359576991,92.9642367137153,97.7548972603646,97.6686305547194,-0.0862667056452153,3.31935845778229,,,947,981
planning,0.8,0,2515.26359576991,2534.40951063831,19.1459148683953,97.6686305547194,97.6508916956015,-0.017738859117884,,,0.756067445445603,981,989
dwelling,9.29999999999998,0,2534.40951063831,2738.46719955628,204.057688917969,97.6508916956015,97.4619784289165,-0.188913266685034,,9.27647052477985,,989,1082
planning,1,0,2738.46719955628,2765.01529373818,26.5480941819033,97.4619784289165,97.4373497816863,-0.0246286472301733,,,0.976817390609452,1082,1092
