optimal,current_idx,goal_idx_1,goal_idx_2,goal_idx_3,J_opt_1,J_opt_2,J_opt_3,opt_values_1,opt_values_2,opt_values_3,J_uncertainty_1,J_uncertainty_2,J_uncertainty_3,E_bar_1,E_bar_2,E_bar_3
dwell,1,2,3,4,135.646340168273,141.791310117223,134.208639432871,6.67777776295098,6.67777777759393,6.67777777729246,108.905171005773,114.30512412914,108.85453108494,26.7411691624999,27.4861859880826,25.3541083479311
travel,1,2,3,4,136.893719999453,144.999217015541,132.840620460434,7.3954945525667,7.44271238908693,4.78771560233926,110.104395301756,117.373837749121,107.040249720463,26.7893246976976,27.6253792664199,25.8003707399716
dwell,4,1,2,3,143.962898502043,126.506859015189,136.296566434054,5.73563218286471,5.73563217574615,5.73563218248582,117.652315879479,100.600271645836,108.696883277315,26.3105826225644,25.9065873693531,27.5996831567389
travel,4,1,2,3,146.453797954395,127.035978387915,140.331531499218,4.8836906333018,5.72271974142447,7.29491004684202,119.292119965243,101.245891213806,113.122732802107,27.1616779891521,25.7900871741088,27.2087986971107
dwell,2,1,3,4,136.03251082754,125.412868867085,136.369313661223,8.08235293987198,8.0823529221136,8.08235294122229,109.053229700101,99.6304878485202,110.415383238234,26.9792811274387,25.7823810185646,25.9539304229889
travel,2,1,3,4,137.352874762756,123.503568354561,135.707918918659,7.39284962103138,5.93341927621392,5.93825915712664,109.676160986754,97.2926067991539,108.612767802093,27.6767137760018,26.2109615554073,27.0951511165659
dwell,3,1,2,4,127.494866241832,131.522086933726,127.361169418635,6.99999999972751,6.99999999920396,7.00000000024575,100.367482043834,105.351969511789,100.484790964616,27.1273841979983,26.1701174219366,26.876378454019
travel,3,1,2,4,128.619989490642,130.967485094068,127.766187732059,7.35930928489062,6.09440362402995,7.35727479137442,101.405893099707,104.022010053749,100.720783538879,27.2140963909355,26.9454750403188,27.0454041931805
dwell,4,1,2,3,128.983589401776,132.596572793202,145.736394106397,5.60344825214788,5.6034482756641,5.60344827205599,103.343594179118,106.429027237899,117.419354216294,25.6399952226582,26.1675455553033,28.3170398901028
travel,4,1,2,3,128.966747540959,133.033777335284,150.328870990104,4.74708243382854,5.85932718412661,7.43151783744256,103.33670082116,106.859063950231,122.064540503034,25.6300467197982,26.1747133850524,28.2643304870693
dwell,1,2,3,4,121.788903632507,136.591498472258,136.942028855692,6.79999999477041,6.80000000007726,6.7999999840382,95.3892293088768,109.109838498425,111.276841625004,26.3996743236307,27.4816599738321,25.6651872306876
travel,1,2,3,4,119.289375439762,136.469579885472,133.934484914037,7.37156722561282,7.34673777712677,4.88369065995809,93.0248748799703,108.690713595854,107.197957861286,26.2645005597919,27.7788662896176,26.7365270527513
dwell,2,1,3,4,135.763973648823,126.235182271155,126.575441382405,8.62941176405324,8.62941176454048,8.62941174638909,108.765010047262,100.439782645234,101.000187922759,26.9989636015616,25.7953996259207,25.5752534596457
travel,2,1,3,4,134.653920852218,121.439075342877,121.391667765413,7.43151783694044,5.97208782660905,5.899590604561,106.507773938982,94.8629877006379,94.9587082342657,28.1461469132358,26.5760876422386,26.4329595311475
dwell,4,1,2,3,131.541711931727,134.476643331853,123.96993248263,5.48390804601764,5.48390804339179,5.48390802217121,105.482128988682,107.85384290302,96.5633051051236,26.0595829430449,26.6228004288328,27.4066273775067
travel,4,1,2,3,131.542622731586,135.489640963562,126.840636710764,4.66815046521951,5.93825961481854,7.35258586172778,105.080759502182,108.517603578357,100.100091791818,26.4618632294038,26.9720373852051,26.7405449189465
dwell,3,1,2,4,134.11354045906,131.883571888306,141.439242016197,7.17777776664037,7.17777776746484,7.1777777748078,107.111772298613,106.079254471789,114.291512742624,27.0017681604471,25.8043174165168,27.1477292735723
travel,3,1,2,4,132.918315166578,127.8995334472,140.649232313743,7.43355298481866,6.02016015536819,7.43151823955102,105.838687607026,101.649840549231,112.946181785944,27.0796275595515,26.2496928979695,27.7030505277986
dwell,2,1,3,4,128.690341432842,143.371315467283,133.922917098185,6.22941176068304,6.22941176200692,6.22941176444717,101.603814456635,116.326523249456,107.711906817136,27.0865269762069,27.0447922178262,26.2110102810496
travel,2,1,3,4,129.593939693288,144.426301460208,132.617270354549,7.30920248467815,6.09440357262192,5.7772752566122,102.89475705491,116.661338559896,106.121729377111,26.6991826383782,27.764962900312,26.4955409774387
dwell,1,2,3,4,143.743747435161,143.987498846267,130.806411926392,7.44444444435066,7.44444444441478,7.44444443116692,116.973156412794,116.800410764045,105.775831190401,26.7705910223669,27.1870880822217,25.0305807359912
travel,1,2,3,4,144.504836274726,145.774040218818,127.405140606076,7.43151826279866,7.40668872489046,4.8237392647879,117.179313481851,118.153905056255,102.027075139777,27.3255227928753,27.6201351625627,25.3780654662987
dwell,4,1,2,3,137.417070390262,125.796559917466,129.645383239722,7.66551724073093,7.66551721149695,7.6655172330728,111.762331349143,100.2259189753,102.802995065429,25.6547390411192,25.570640942166,26.842388174293
travel,4,1,2,3,136.594448644965,123.200309778544,130.286820177332,4.88369061969429,5.72271939680332,7.29491004665074,109.530439815035,97.0750313037475,103.156917734362,27.0640088299293,26.1252784747968,27.1299024429694
