phase_type,duration,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
planning,0.4,1918.55246803907,1927.9525672801,9.40009924102992,99.9701648094841+0.00382403150701554i,99.9700395859864+0.00382403176887417i,-0.000125223497676075+2.61858631132872e-10i,,,0.319599735180496,397,401
dwelling,5.1,1927.9525672801,2038.34987978958,110.397312509479,99.9700395859864+0.00382403176887417i,99.9685701141469+0.00382403483683055i,-0.00146947183948498+3.06795638069582e-09i,,5.05022543980233,,401,452
planning,0.3,2038.34987978958,2045.78997140198,7.44009161240228,99.9685701141469+0.00382403483683055i,99.9684709443757+0.00382403504446075i,-9.91697712038331e-05+2.0763019385403e-10i,,,0.242849598318169,452,455
traveling,4.4,2045.78997140198,2407.59753705745,361.807565655472,99.9684709443757+0.00382403504446075i,99.9632399158243+0.00382404825685111i,-0.00523102855139257+1.32123903649403e-08i,4.35321903747468,,,455,499
planning,0.3,2407.59753705745,2415.53312812339,7.9355910659383,99.9632399158243+0.00382404825685111i,99.9631340642232+0.00382404847884972i,-0.000105851601148288+2.21998602660534e-10i,,,0.218676632399634,499,502
dwelling,7.39999999999999,2415.53312812339,2589.45559129919,173.922463175795,99.9631340642232+0.00382404847884972i,99.9608171246466+0.00382405332570297i,-0.00231693957660184+4.84685325121553e-09i,,7.36666658321568,,502,576
planning,0.7,2589.45559129919,2607.63628080312,18.180689503934,99.9608171246466+0.00382405332570297i,99.9605746662672+0.00382405383404025i,-0.000242458379318577+5.08337287628141e-10i,,,0.678652304800188,576,583
traveling,4.6,2607.63628080312,2963.67289955498,356.036618751857,99.9605746662672+0.00382405383404025i,99.9554203903632+0.0038240669964421i,-0.00515427590406148+1.31624018485758e-08i,4.57337778570676,,,583,629
planning,0.2,2963.67289955498,2969.00525945124,5.33235989625882,99.9554203903632+0.0038240669964421i,99.9553492559918+0.00382406714570901i,-7.11343713817314e-05+1.49266903958639e-10i,,,0.14651491061489,629,631
dwelling,8.39999999999999,2969.00525945124,3159.93816008646,190.932900635223,99.9553492559918+0.00382406714570901i,99.9528065617314+0.00382407246303464i,-0.00254269426041276+5.31732563709142e-09i,,8.33331772949522,,631,715
planning,0.3,3159.93816008646,3167.35455159469,7.41639150823494,99.9528065617314+0.00382407246303464i,99.9527077104424+0.00382407267012816i,-9.88512890103266e-05+2.07093520717544e-10i,,,0.212601533358843,715,718
traveling,4.1,3167.35455159469,3271.75655483308,104.40200323839,99.9527077104424+0.00382407267012816i,99.9513155744126+0.00382407558924781i,-0.00139213602980703+2.91911964305641e-09i,4.14377871247605,,,718,759
planning,0.4,3271.75655483308,3280.86949126099,9.11293642790997,99.9513155744126+0.00382407558924781i,99.9511942132642+0.00382407584308056i,-0.000121361148330834+2.53832753861066e-10i,,,0.337583864052045,759,763
dwelling,6,3280.86949126099,3407.40382707829,126.534335817299,99.9511942132642+0.00382407584308056i,99.9495103341797+0.00382407935991676i,-0.0016838790845668+3.51683619639193e-09i,,5.9923075891925,,763,823
planning,1,3407.40382707829,3430.00213006071,22.5983029824183,99.9495103341797+0.00382407935991676i,99.9492094052189+0.00382407998927874i,-0.000300928960740521+6.29361979198606e-10i,,,0.933759848385332,823,833
traveling,4.9,3430.00213006071,3628.72083616393,198.718706103223,99.9492094052189+0.00382407998927874i,99.9465197191168+0.00382408580982845i,-0.00268968610212994+5.82054970844556e-09i,4.81620736015802,,,833,882
planning,0.8,3628.72083616393,3645.0852744238,16.3644382598659,99.9465197191168+0.00382408580982845i,99.9463020075086+0.00382408626434562i,-0.000217711608158311+4.54517179102054e-10i,,,0.758112431327419,882,890
dwelling,8.19999999999999,3645.0852744238,3811.96902084323,166.883746419434,99.9463020075086+0.00382408626434562i,99.9440817131088+0.00382409090026425i,-0.00222029439980531+4.63591862467916e-09i,,8.13333330206719,,890,972
planning,0.2,3811.96902084323,3817.35739898413,5.3883781408922,99.9440817131088+0.00382409090026425i,99.944009822229+0.00382409105123155i,-7.18908798518214e-05+1.50967300726473e-10i,,,0.142187159290504,972,974
traveling,4.9,3817.35739898413,4089.4598701662,272.10247118207,99.944009822229+0.00382409105123155i,99.9402582005423+0.00382409951613369i,-0.0037516216867175+8.46490213904719e-09i,4.88284268445999,,,974,1023
planning,0.7,4089.4598701662,4109.29762311374,19.837752947542,99.9402582005423+0.00382409951613369i,99.9399933640412+0.00382410007307095i,-0.000264836501060017+5.56937258464063e-10i,,,0.625937626080496,1023,1030
dwelling,8.99999999999999,4109.29762311374,4335.98876598721,226.691142873471,99.9399933640412+0.00382410007307095i,99.9369711458776+0.00382410641152232i,-0.00302221816362191+6.33845137227446e-09i,,8.99999959376335,,1030,1120
planning,1,4335.98876598721,4364.24844420978,28.2596782225701,99.9369711458776+0.00382410641152232i,99.9365938888762+0.00382410720493179i,-0.00037725700134672+7.93409473971024e-10i,,,0.979129132433892,1120,1130
traveling,4.4,4364.24844420978,4503.7235180594,139.475073849616,99.9365938888762+0.00382410720493179i,99.9347289197765+0.00382411114028434i,-0.00186496909975631+3.93535254990945e-09i,4.50124904036906,,,1130,1174
planning,0.2,4503.7235180594,4509.29754224221,5.57402418281799,99.9347289197765+0.00382411114028434i,99.9346545212289+0.00382411129671175i,-7.43985475395448e-05+1.56427405317155e-10i,,,0.12202051825213,1174,1176
dwelling,7.09999999999999,4509.29754224221,4686.33734070306,177.039798460842,99.9346545212289+0.00382411129671175i,99.9322944950309+0.00382411624638326i,-0.00236002619801923+4.94967150946324e-09i,,7.0461536738377,,1176,1247
planning,0.7,4686.33734070306,4708.76721778755,22.4298770844944,99.9322944950309+0.00382411624638326i,99.9319945615704+0.00382411687944644i,-0.000299933460482293+6.33063180870141e-10i,,,0.668464274361376,1247,1254
