optimal,current_idx,goal_idx_1,goal_idx_2,goal_idx_3,J_opt_1,J_opt_2,J_opt_3,opt_values_1,opt_values_2,opt_values_3,J_uncertainty_1,J_uncertainty_2,J_uncertainty_3,E_bar_1,E_bar_2,E_bar_3
dwell,1,2,3,4,215.732695977373,223.941671175908,211.085865368862,6.72222220011746,6.72222222242743,6.72222219924769,112.778833685189,117.647804498328,111.617331149015,25.7384655730461,26.5734666693949,24.8671335549618
travel,1,2,3,4,214.358714521577,224.508432738665,207.526069187123,7.39549595748205,7.44271214739468,4.78771667649252,109.086191973827,116.788832381874,105.638124112764,26.3181306369377,26.9299000891978,25.4719862685898
dwell,4,1,2,3,221.099609792956,202.718939412192,216.47543806704,5.73563217525967,5.7356321835989,5.73563217760339,119.5117621884,101.805363699541,111.290188427473,25.396961901139,25.2283939281627,26.2963124098917
travel,4,1,2,3,224.454264181721,201.816326355924,218.826929908051,5.90180208338628,5.72272023088856,7.29491109206407,120.218891681448,99.7460354462306,112.197959292675,26.0588431250682,25.5175727274233,26.6572426538442
dwell,2,1,3,4,214.41419215853,200.810948277721,212.001437952746,8.04705882217613,8.04705880662576,8.04705882229697,110.278388495089,99.655490543776,110.826422032558,26.0339509158603,25.2888644334862,25.293753980047
travel,2,1,3,4,216.224861895246,198.336290420707,212.721717121233,7.39284941417161,5.93341929364873,6.46990947491862,108.315076965545,94.8313416550806,107.612035310087,26.9774462324251,25.8762371914066,26.2774204527865
dwell,3,1,2,4,207.241493564411,208.40993894892,206.200357295878,6.99999998680185,6.99999999977002,6.9999999836645,102.818751382929,107.026712868832,102.669304724033,26.1056855453706,25.3458065200219,25.8827631429612
travel,3,1,2,4,210.367817997467,211.264848098534,208.769612768748,7.35931030989548,6.61570637688625,7.35727449797586,103.719553814619,106.675183001827,102.782453672757,26.6620660457119,26.1474162741767,26.4967897739977
dwell,4,1,2,3,207.512716629951,211.641427878808,229.662966424918,5.69310344850453,5.69310344817685,5.69310344334671,107.138125207959,110.373129402531,123.607772690719,25.093647855498,25.3170746190693,26.5137984335497
travel,4,1,2,3,207.825626466466,212.771859960875,235.569579930695,4.74708244831528,5.85932855549169,7.89669236489462,106.398192435805,109.74923421826,127.012199982376,25.3568585076654,25.7556564356538,27.1393449870797
