optimal,current_idx,goal_idx_1,goal_idx_2,goal_idx_3,J_opt_1,J_opt_2,J_opt_3,opt_values_1,opt_values_2,opt_values_3,J_uncertainty_1,J_uncertainty_2,J_uncertainty_3,E_bar_1,E_bar_2,E_bar_3
travel,1,2,3,4,252.234638642869,275.413490638473,268.246204598754,7.37156908161409,8.84866724432823,7.49248613146837,97.9105942137804,117.353154034554,116.761128579595,25.7206740715148,26.3433894339864,25.2475126698598
dwell,2,1,3,4,269.253747295758,255.034432217456,254.957330004874,8.92941176289241,8.92941175146721,8.92941176454772,115.535091635992,104.949228985809,105.90703320397,25.6197759432943,25.0142005386077,24.8417161334839
travel,2,1,3,4,275.309617317241,255.912607643656,255.850307824547,9.92844800623643,5.97209448952208,6.48514733928002,117.403979542736,100.811543482072,102.034562017925,26.3176062957508,25.8501773602638,25.6359576344369
dwell,4,1,2,3,264.181235463845,268.283790498917,260.986474093673,5.64827584865093,5.64827585828769,5.64827585899048,114.364825287864,117.602696263984,106.375674122103,24.9694016959969,25.1135157058222,25.7684666619284
travel,4,1,2,3,265.030135929377,270.104743299057,261.524632995453,5.71309593779247,8.74695923089194,7.35258592065382,112.279811248993,117.364681289161,105.107443730756,25.4583874467307,25.4566770016494,26.0695315441162
dwell,3,1,2,4,266.735476249928,259.781692733813,274.40210712849,7.4444444336591,7.44444443326437,7.44444443405529,112.919660599223,110.424294174207,121.0740752531,25.6359692751174,24.8928997599344,25.5546719792316
travel,3,1,2,4,268.757419967808,259.769181395691,278.436391438503,7.43355935991837,6.52449308569603,10.0874394370471,111.031491238519,106.577818756851,122.037875732385,26.2876547882148,25.5318937731401,26.0664192843531
dwell,2,1,3,4,264.388728012931,278.362320528843,266.367789337732,6.54705881311804,6.54705882362323,6.54705881803417,110.446193809917,125.81085741619,115.951606693187,25.6570890338358,25.4252438521088,25.0693637740907
travel,2,1,3,4,264.751170673373,282.24299397602,266.805437914814,7.30920253968169,8.79610304407449,6.52529497909065,108.431833152782,126.959552466187,112.992844375775,26.0532229200984,25.8805735849721,25.6354322565067
dwell,1,2,3,4,276.329255458158,277.956881866893,257.091538173859,7.66666666633558,7.66666666134751,7.6666666665323,124.138832243085,123.818846103431,110.05596736513,25.3650705358455,25.6896726272436,24.5059284681214
travel,1,2,3,4,280.423503684825,282.788264634185,255.358348920701,9.99852440887552,8.55065933832192,4.82374047128861,125.08619192797,124.708357071257,105.271044194656,25.8895519594759,26.3466512604879,25.0145507876742
dwell,4,1,2,3,265.32432109342,253.455236810963,261.737275540837,7.81494251788416,7.81494252063694,7.81494250849626,116.3486889076,104.639726397442,108.222268912347,24.82927203097,24.8025850689202,25.5858344380817
travel,4,1,2,3,266.727202794949,251.278060161539,261.98233372509,7.40677540944277,6.22545408956313,7.29491310303301,114.112162309025,98.3625371401724,104.078147307379,25.4358400809873,25.485920503561,26.3173644029517
dwell,2,1,3,4,265.800474790438,249.565627684834,263.036589043986,6.49411764610249,6.49411764721542,6.49411764714293,110.875107488465,98.2589012041059,111.939829661298,25.8208945503289,25.217787746788,25.182793230448
travel,2,1,3,4,269.988218948478,249.664630683699,266.516263729142,8.9042169076703,5.933420715513,8.74747511339083,112.020907462266,95.7142589812207,112.858389383974,26.327885247702,25.6583952837464,25.6096457241946
dwell,3,1,2,4,258.315613761356,258.867561161196,258.063219164641,7.24444444442517,7.24444444440139,7.24444443027808,104.24377022101,106.149529432833,105.11107950536,25.6786405900577,25.4530052880606,25.4920232765468
travel,3,1,2,4,259.594289015805,259.467878249864,259.252195653702,7.46849437809468,8.8005217475654,8.48820227525737,101.437740265027,106.432390501554,102.757554161362,26.3594247917964,25.5059146247184,26.0824402487233
dwell,4,1,2,3,258.246857336668,263.011541392899,283.52902683536,5.48390804618099,5.48390804406686,5.48390804557071,108.98105870118,112.834680028996,127.560070190431,24.8776331059148,25.0294768939839,25.994826107488
travel,4,1,2,3,259.275435506799,265.189150131943,290.340756510667,4.74708357887306,6.28735142254824,10.1633805417689,108.077478888984,112.278503469046,132.448143953257,25.1996594363025,25.4851077771495,26.3154354262351
dwell,1,2,3,4,252.720328783226,271.547659295842,265.492268247108,6.92222222067713,6.92222220882716,6.92222222230643,101.123900520641,116.819752671522,116.92338974254,25.2660713770975,25.7879844373868,24.7614797507613
travel,1,2,3,4,252.937495395044,276.292531338387,268.489598054457,7.37156910379868,8.90000942813938,7.41331350356767,98.6008011602292,118.235498212718,116.99903912749,25.7227823724691,26.3428388542781,25.2484264878278
dwell,2,1,3,4,269.438574329372,255.571694670973,255.034210278325,8.89411764707484,8.8941176457042,8.89411761578669,115.709490119341,105.448300978811,105.906371174853,25.6215140350053,25.0205656153603,24.8546398505787
travel,2,1,3,4,274.41998318255,255.517033345657,254.880206538929,9.91822827392097,5.97208925199476,6.45836979150923,116.513768352157,100.323584230443,101.062341263839,26.3177024717322,25.8655748525356,25.6363108791817
dwell,4,1,2,3,262.054859106524,266.391372558778,259.281073536232,5.63333333065286,5.6333333332362,5.63333333325705,112.220730032532,115.679987586197,104.630370554356,24.9723548456654,25.118564162097,25.775117163646
travel,4,1,2,3,263.840135929378,269.138763898945,260.810295083606,5.71309770498925,8.79276369496695,7.35258742760273,111.089813925276,116.401436633621,104.29882535282,25.4583870006837,25.4562212108874,26.085244955131
dwell,3,1,2,4,268.414320991498,261.518485886931,275.925141880742,7.39999999130632,7.39999999955428,7.39999997965697,114.584739913299,112.146528427126,122.602783326954,25.6382635130331,24.8953262433008,25.5537264256312
travel,3,1,2,4,269.790190791245,260.923922371589,279.278043466369,7.43355843788833,6.50902951590949,10.0077524372675,112.105257495039,107.731376532207,122.875166372802,26.2808222160344,25.5320909732303,26.0671461822612
dwell,2,1,3,4,263.26075969644,277.450140086931,265.170864960431,6.45882352917295,6.45882352930525,6.45882352958563,109.249630212271,124.80824020324,114.698233569264,25.6685215806949,25.4403166472819,25.0787718985278
travel,2,1,3,4,265.393817296297,283.131001680036,267.300307824548,7.30920253932091,8.83684152428183,6.4851428272217,109.083796980668,127.850071101496,113.48455691873,26.0516700526049,25.8801550964232,25.635958484303
dwell,1,2,3,4,277.444315673174,279.51154340738,258.3351788209,7.69999999880708,7.69999999932289,7.69999999032524,125.300779160454,125.389707198726,111.33204022443,25.3572560854532,25.6869727014424,24.5005230994116
travel,1,2,3,4,279.703742608871,282.517387444987,254.727259236646,9.9678503759262,8.6123410643782,4.82374046398894,124.364749609255,124.441578659975,104.650614052017,25.8898321666028,26.3459681308355,25.0127741974382
dwell,4,1,2,3,264.079232161869,251.999972400526,260.591391879913,7.79999999998166,7.79999999996342,7.80000000017027,115.072830370364,103.175978501531,107.04276918585,24.8344002985842,24.8039989831657,25.5914371156771
travel,4,1,2,3,266.614713989347,250.817493257067,261.971198470621,7.44737876285784,6.19448493998191,7.29491612691035,114.002560269135,97.8995054471595,104.004261001366,25.4353589533685,25.4863313016512,26.3278229115424
dwell,2,1,3,4,266.011400542009,249.322854593704,262.385516890813,6.52941176478576,6.52941176235693,6.52941176427154,108.151046466132,98.0261463570012,111.323997335446,26.3100590126463,25.2161180394505,25.1769199258944
travel,2,1,3,4,267.706523827842,247.458776301229,263.900813359212,8.98632253840194,5.93342076290599,8.76069415749265,109.74444629298,93.4150605691515,110.243731389788,26.327012922477,25.6739526220129,25.6095136615707
dwell,3,1,2,4,254.983227669956,255.014008333035,254.54110964516,7.0888888881668,7.08888888879241,7.08888888889399,100.768521922105,104.812022140607,101.470698424663,25.7024509579751,25.0336643654046,25.5117352034162
travel,3,1,2,4,256.764499631708,256.734943855934,256.162266167363,7.60273785416988,8.95333460270163,8.56843733327865,98.6179222415466,103.708542081247,99.6728752188826,26.3577628983602,25.5044002957812,26.08156515808
dwell,4,1,2,3,256.086534143635,260.970143794172,280.874988570929,5.40919540252561,5.40919539303982,5.40919539335445,106.740234792992,110.715738108579,124.865956824867,24.8910498917738,25.0424009475988,26.0015052910103
travel,4,1,2,3,254.022503717113,260.278130328262,284.448304380941,4.74708371233966,6.5502070648433,10.2246303730264,102.643775305931,107.387882048921,126.559020883072,25.2297880685303,25.4817080465569,26.3148805829781
dwell,1,2,3,4,248.729445079815,266.775798638867,260.84096976724,6.69999999997264,6.69999999848401,6.69999999663936,96.93573399942,111.875893296019,112.104606103672,25.2989518467326,25.8166508904746,24.789393943928
travel,1,2,3,4,249.476830830891,271.840913106695,264.283874914703,7.37156969445142,8.98213974439588,7.5452464721338,94.8970504006032,113.789132997599,112.802420164087,25.7632967383814,26.3419633515159,25.2469091251026
dwell,2,1,3,4,267.685373045734,254.041780239104,253.692691259406,8.62941175087718,8.62941176472986,8.62941176472444,113.797719184391,103.739594981628,104.560456769206,25.6479423102239,25.0503642095794,24.8553724150333
travel,2,1,3,4,272.070347432808,253.613344010877,253.230596492076,9.90800441475889,5.97208988095406,6.59220360244954,114.163551776288,98.3372303210134,99.4232451532824,26.3177992760868,25.879352281644,25.6345585564656
dwell,4,1,2,3,260.479389435318,265.044110072855,258.083649314624,5.48390804539105,5.48390804454048,5.48390804546761,110.547003288444,114.23580015822,103.303730659984,24.9887310244791,25.1347183191058,25.7966531091067
travel,4,1,2,3,260.46880216136,266.115990244061,257.858520075799,5.76435262027453,8.91487035478245,7.35258756923228,107.72299372291,113.385896079357,101.213908871717,25.4576347397417,25.4550156941174,26.1074352006803
dwell,3,1,2,4,263.469987549364,256.986778020684,271.134694546295,7.17777776922088,7.17777777538105,7.17777777794015,109.454015857358,107.42928844814,117.627682515551,25.6693286153342,24.9262482620905,25.584502005124
travel,3,1,2,4,263.880661244592,255.653229875616,273.548742999144,7.43355425991412,6.80274920772971,10.2069275246906,106.031066699868,102.482981208395,117.156699507292,26.3082657574541,25.5283747778703,26.0653405819752
dwell,2,1,3,4,260.300531783823,274.058652266002,262.329835241643,6.19411763291951,6.19411764708904,6.19411762862181,106.067069591967,121.243194055142,111.648594539515,25.705577031976,25.4692430351432,25.1135401170215
travel,2,1,3,4,259.991047038333,277.126928471182,262.200680002909,7.30920254751761,8.91828732326665,6.75268221854926,103.48392080781,121.850963096181,108.40574539886,26.0845210384204,25.8793275625001,25.6324891006747
dwell,1,2,3,4,270.495035248263,272.325630225335,251.766186054905,7.40000000016344,7.39999998923433,7.39999999213638,118.11749905251,117.953496246989,104.519619206541,25.3962560326255,25.728688996391,24.5410944747273
travel,1,2,3,4,275.132421361896,277.795460072569,250.88019780619,10.1211942728969,8.73567361058183,4.82374067993319,119.801791110754,119.7277808885,100.543877585236,25.8884383751903,26.3446131973448,25.056053370159
dwell,4,1,2,3,259.996597582727,248.730020254393,257.178057662782,7.42643678080766,7.42643677040576,7.42643677900676,110.737922208064,99.6466390736243,103.333214118244,24.8764458957771,24.8472301967948,25.640807257423
travel,4,1,2,3,262.534713989346,247.866388836231,258.740949621932,7.44737583138318,6.42655817227679,7.35942429190186,109.922556997385,94.9666109800406,100.66575288401,25.4353594986601,25.4832963093651,26.345866122987
dwell,2,1,3,4,264.185266515033,248.625060952097,261.118210272068,6.33529411742142,6.33529409684888,6.33529411335903,109.151809143709,97.1588166385448,109.94755270084,25.8389095618873,25.2443740522586,25.1951095952048
travel,2,1,3,4,267.297384266734,247.867453618289,263.497155664852,8.94527034014149,5.93342089590906,8.72100383101378,109.332693389067,93.70123731803,109.837664317142,26.3274484796111,25.6943693833766,25.6099152246184
dwell,3,1,2,4,256.892347075467,256.905170055955,256.415445574867,6.9888888882321,6.98888888735103,6.98888888888384,102.631036330657,106.671241904694,103.307068056798,25.7102184574683,25.0389880252103,25.5180629196782
travel,3,1,2,4,260.794314809055,260.617878249867,260.077067766803,7.47881744030314,8.80052407117444,8.42132451865968,102.638531464036,107.582393265962,103.578025747354,26.3592972241698,25.5059141639843,26.0831736699081
dwell,4,1,2,3,258.34256638861,263.089376547969,283.302243817655,5.52873562526132,5.5287356319314,5.52873563220486,109.10168724525,112.93363806044,127.375124115117,24.8734798572267,25.0259564145882,25.9878532837564
travel,4,1,2,3,259.085575466889,265.009673197037,289.812358929955,4.74708359694994,6.31830106075421,10.1225415719827,107.860727119174,112.101459629608,131.917512888065,25.2041413912858,25.4847022612382,26.3158076736483
dwell,1,2,3,4,252.685062813296,271.238124472205,265.382523907691,6.88888888588682,6.88888888816475,6.88888887588526,101.060976818192,116.493604592192,116.788868343172,25.2706809991839,25.7907533133355,24.7656092607532
travel,1,2,3,4,251.932174300942,274.872726403971,267.37734922425,7.37156923386061,8.88974583919989,7.46609903077401,97.5320153430809,116.815039492017,115.890452826106,25.7333598263103,26.3429478186589,25.2478160663574
dwell,2,1,3,4,271.065399152934,257.100755552281,256.707884150554,8.92941176474649,8.92941176421249,8.92941175583472,117.366415935447,107.020762909223,107.691556781981,25.6164972029144,25.0133321071764,24.8360545614289
travel,2,1,3,4,277.433203300661,258.384796678523,257.884760327562,9.82622984297486,5.97209366503136,6.36463723520954,119.521769054129,103.314381187218,104.059453768175,26.3185723744221,25.8450692485507,25.6375510932312
dwell,4,1,2,3,262.807693341773,267.407612746124,259.897367433272,5.66321837473502,5.66321838242097,5.66321838774569,113.006788666779,116.705214891276,105.285579402055,24.9668174458324,25.1170663091414,25.7686313385362
travel,4,1,2,3,262.720135929377,268.46670574282,259.547453716061,5.71309411962474,8.88435510597895,7.35258592351747,109.969810407477,115.73481969928,103.064339682517,25.4583875869832,25.45531434059,26.0805190055906
dwell,3,1,2,4,264.432812252265,258.038977598793,272.243440648516,7.35555554466341,7.35555555502612,7.35555555481983,110.552306577354,108.591027348435,118.845690475291,25.6467509458184,24.9079917083931,25.5662916955375
travel,3,1,2,4,266.486131218666,258.226793706299,276.325239602415,7.4335600003745,6.69458706727527,10.1405552103718,108.739664469894,105.048405500132,119.929615330302,26.2910777914619,25.5297313676946,26.0659373786856
dwell,2,1,3,4,261.318669361832,275.298657912052,263.519485261197,6.26470587718567,6.26470588254691,6.2647058823019,107.154122276014,122.534746218296,112.890674557421,25.6940911809695,25.4606519489594,25.1048017839628
travel,2,1,3,4,263.595569906738,281.001001680036,265.885656691275,7.30920254182777,8.83684299692321,6.6323331280921,107.220179745216,125.720071026488,112.081428013277,26.0625650269202,25.8801551089247,25.6340381129998
dwell,1,2,3,4,274.649119063168,276.630744353088,255.986725226496,7.58888887973559,7.58888888387141,7.58888888468343,122.425824718346,122.423846313574,108.882253629876,25.3705490574703,25.7011496732523,24.5174119327699
travel,1,2,3,4,277.863503684828,280.627082235254,253.533325554852,9.99852760979574,8.63290518702778,4.82374057028724,122.526195887948,122.552639516854,103.317025264865,25.88955129948,26.3457404530666,25.0360500483312
dwell,4,1,2,3,265.946677041567,253.869473517033,262.583320497042,7.72528735208369,7.72528735517889,7.72528733175121,116.926741705286,105.024083095388,109.000964195376,24.8366558893802,24.8075650702742,25.5970593836109
travel,4,1,2,3,269.051475091197,253.27039402196,264.602581943679,7.33569523003036,6.08609445689562,7.29491286880339,116.431335749682,100.343769687196,106.708828300119,25.4366898902525,25.4877707224605,26.31562560726
dwell,2,1,3,4,266.998230264129,251.07260818257,264.31747044831,6.63529411754502,6.63529411043733,6.63529411766199,112.188172829635,99.8648936768195,113.247634599914,25.8016762390824,25.2012857509584,25.1783059747327
travel,2,1,3,4,269.088828058414,249.056715435833,265.766263729136,8.87341857027068,5.93342069047748,8.74746509147398,111.119539544788,95.0784217702627,112.108379861982,26.3282147522709,25.6630489442617,25.6096473111924
dwell,3,1,2,4,258.002186052326,258.341698963812,257.858178592247,7.22222222203662,7.22222220593481,7.22222221425111,103.926873307194,108.241647724067,104.895852496962,25.6792187908553,25.0166752066242,25.4937210158809
travel,3,1,2,4,261.90394317344,262.128421779229,261.606999018221,7.36549378587376,8.76994490414038,8.39456500017157,103.739974506824,109.091096080852,105.106182955705,26.360661444436,25.5062209497295,26.0834693437526
dwell,4,1,2,3,260.895423771789,265.82266642449,286.212035150125,5.61839080148447,5.61839080455213,5.61839080469292,111.752015454822,115.743890106161,130.355185318176,24.8572347194944,25.0131293863881,25.976141638658
travel,4,1,2,3,262.356911732561,268.442204325194,293.575100935925,4.74708349750025,6.17900994401728,10.051048493921,111.292244031918,115.522994706107,135.676308950489,25.1774446167738,25.4865349365145,26.316465330906
dwell,1,2,3,4,254.85539091311,273.635908238138,267.993701190269,7.0777777728468,7.07777777538759,7.07777775428828,103.376704526174,119.046387610357,119.521000804322,25.2464477311559,25.7649201046302,24.7454500643244
travel,1,2,3,4,255.522723295356,278.884942182815,271.536249318464,7.37156891047103,8.76649464587941,7.37371683903316,101.29936525059,120.819272996471,120.042930849507,25.703893007461,26.3442781977239,25.2488864114928
dwell,2,1,3,4,273.917887719964,259.750740311705,259.436773485914,9.15882351577643,9.15882352901573,9.15882352968128,120.396711392985,109.842811590044,110.574182589747,25.5868627211632,24.9846547869436,24.8104318160278
travel,2,1,3,4,279.164247610424,259.724221144729,259.374264325454,9.79555342959093,5.97209203019482,6.28426382460432,121.251054829283,104.765563671703,105.542526410741,26.3188654635234,25.826442912171,25.6386229857855
dwell,4,1,2,3,264.848093500464,269.586578366432,261.588243337855,5.78275862084669,5.78275862091498,5.78275861451393,115.143828108322,118.954084813221,107.096040541929,24.9507108986904,25.1054155922018,25.7487004659877
travel,4,1,2,3,267.153118914356,272.974094044874,263.628281701783,5.59001100197084,8.7774965954037,7.352585915886,114.391844042547,120.235856731381,107.332645261577,25.4602124786349,25.4563728855821,26.0492727400344
