optimal,current_idx,goal_idx_1,goal_idx_2,goal_idx_3,J_opt_1,J_opt_2,J_opt_3,opt_values_1,opt_values_2,opt_values_3,J_uncertainty_1,J_uncertainty_2,J_uncertainty_3,E_bar_1,E_bar_2,E_bar_3
dwell,1,2,3,4,315.943511568477,325.614546809259,308.332938972568,6.67777777755677,6.67777776685166,6.67777777784333,114.97544122319,121.652769686248,112.273808662565,25.1210087931609,25.4952221403764,24.5073912887504
travel,1,2,3,4,318.507183686381,330.511708782234,308.974418492059,10.4706685798288,10.7034074077828,6.41713944800237,114.755861116151,123.72406861581,109.552111661455,25.4689153212787,25.848455020803,24.9277883538255
dwell,4,1,2,3,326.456912448118,307.536889467742,325.116807808747,5.92988504916746,5.92988504672423,5.92988505733921,128.03938307578,109.720088196134,121.156842288559,24.8021911715422,24.7271001589511,25.4949956900235
travel,4,1,2,3,329.393705548713,306.232546234953,327.288958582373,8.93554253601069,6.48318801189062,9.30714478038922,128.898239362828,105.264148982775,120.502980846306,25.0619332732357,25.1210496565223,25.8482472170084
dwell,2,1,3,4,323.531479155251,307.86782293038,319.237140223429,8.45294117286087,8.45294117647123,8.45294117568256,120.835448051997,109.176248999426,121.004668373626,25.3370038879068,24.8364467413692,24.7790589812254
travel,2,1,3,4,329.295730925991,308.947155159024,323.693293495315,10.5365964171198,5.94623397742714,10.0268465917192,122.600125495,104.982682555447,121.952063016329,25.8369506788739,25.4955590754471,25.2176538098732
dwell,3,1,2,4,313.662767056367,313.409933119099,312.459827981314,7.26666666618234,7.26666666678556,7.26666666666041,110.52370303814,115.053438763786,110.757753556862,25.3923830022784,24.7945617944141,25.2127593030564
travel,3,1,2,4,318.752951557757,318.217337862576,317.090305702883,9.11490608049799,10.5666957889903,10.0295667759684,111.84834305564,117.2195412324,112.082380981022,25.8630760627647,25.124724578772,25.6259905902327
dwell,4,1,2,3,318.813126324142,324.022868110444,346.29119353597,6.24597701073162,6.24597700978847,6.24597701048056,121.91448286905,126.126534117378,141.82834009286,24.6123304318865,24.7370417491332,25.5578566803887
travel,4,1,2,3,316.637313308559,323.516697592368,350.54929097463,4.74708256537785,7.7630629353507,11.8215018066659,116.453906842161,122.659056869873,143.93772948358,25.0229258082999,25.1072050903119,25.8264451863812
dwell,1,2,3,4,308.739337842178,328.774350184218,322.203482561196,7.4444444443046,7.44444444332546,7.44444444427809,108.849494613914,125.35575001489,125.884194689171,24.986230403533,25.4273250211659,24.5399109840031
travel,1,2,3,4,307.165427706294,331.776798719162,323.618892972144,7.73935796198832,10.5603094484923,9.01509867889308,103.210081238061,124.979280900263,124.417769677347,25.4944183085291,25.8496897273624,24.9001404118496
dwell,2,1,3,4,326.684848694773,310.787100987866,310.971766327083,9.45882352875662,9.45882352896163,9.45882352529597,124.243451671586,112.477158782293,113.897873348388,25.3051746278985,24.7887427756966,24.6342366223369
travel,2,1,3,4,330.001423017639,308.800675793338,309.183327806267,11.7808046449967,7.01787504355379,8.14693205965554,123.387362944081,104.939565894617,107.30030010242,25.8267575091947,25.4826387373401,25.2353784629808
dwell,3,1,2,4,325.574728355838,320.683596626856,311.544748420056,6.28888888637513,6.28888888877134,6.28888888722269,121.470215447796,121.785763902564,109.719463134757,25.5130641135053,24.8622290905366,25.2281606606625
travel,3,1,2,4,327.992283510611,322.056229844176,311.077040069626,10.3966768993096,10.7338198724817,8.17188119566358,121.183309528814,121.069144407993,105.927331101208,25.8511217477247,25.1233856795229,25.6437136210523
dwell,4,1,2,3,311.17645210863,311.747421743662,332.746315687642,8.09885056435388,8.0988505579373,8.09885055437328,115.189114604732,114.881131286848,129.401909137505,24.4984171879874,24.6082863071018,25.418050818767
travel,4,1,2,3,310.39875115354,311.736590868796,338.568216570139,5.23877676444466,7.82455836390393,11.8418435806394,109.557805502631,110.884007710177,131.957893922264,25.1051182063637,25.1065728948274,25.8262903309844
dwell,1,2,3,4,307.397931783605,327.748373238106,320.631878411906,6.24444444427088,6.2444444390974,6.2444444443819,106.766078250589,123.554435996327,123.629215356453,25.078981691627,25.5242421552224,24.6253328819317
travel,1,2,3,4,309.81463893138,334.378203138357,325.777217843965,7.70833127310699,10.5194067021917,8.88396705076092,105.856740226333,127.577833108912,126.566202486606,25.4947373381309,25.8500462536807,24.9013769196698
dwell,2,1,3,4,327.60113561475,311.836997032574,311.731977925541,9.42352940823137,9.42352938571258,9.42352941160586,125.147249045444,113.504041472587,114.660722675431,25.3067358211633,24.7916194449983,24.6339069062637
travel,2,1,3,4,332.275100312441,311.271101139636,311.220420742378,11.7095719334297,6.98702067467525,8.02724198038335,125.656641323912,107.407122350018,109.327538694857,25.8273073735661,25.4829973487022,25.2366102559401
dwell,4,1,2,3,321.726780446616,326.484931535282,319.246554831066,6.03678158704769,6.03678160861701,6.03678159330389,123.886422979634,127.828108249618,115.877589705693,24.7300446833727,24.832102910708,25.4211206406717
travel,4,1,2,3,324.247189287897,329.888694550432,321.324428413584,6.87664669217073,10.3309518659057,7.35258786269805,123.573568165517,129.221542034007,114.659558605449,25.0842026402975,25.0833940645531,25.8331087260168
dwell,3,1,2,4,323.616513952811,315.717296127421,332.015149080281,7.96666665553708,7.9666666662926,7.96666666685895,121.097865011819,118.417277608186,130.173261856189,25.314831117624,24.6625023149043,25.2302359030115
travel,3,1,2,4,324.859090125106,314.888522777644,335.341390542997,8.61081753140317,8.13667592709816,12.0196082246641,117.914019180258,113.714887910781,130.462704975349,25.868133868106,25.1467043583579,25.609835695956
dwell,2,1,3,4,323.959978520001,338.754716408325,325.676932037973,7.07647058804567,7.07647058149174,7.07647058848089,121.374118254,137.92198905936,127.249193509267,25.32323253325,25.1040909186206,24.8034673160883
travel,2,1,3,4,324.821468499372,343.432986010698,326.792110241288,7.3092097992459,10.2962802980546,7.92080560154466,118.325450836995,139.837318533561,124.890393016742,25.8120022077971,25.4494584346421,25.2377146530682
dwell,1,2,3,4,333.205833468457,334.826873346096,311.511034922179,8.2333333312995,8.23333332898241,8.23333333228525,132.673127046628,131.990078176142,116.865053075357,25.0665883027286,25.3545993962441,24.3307477308528
travel,1,2,3,4,335.172348885398,337.414571699788,307.082717891771,12.0924902476468,10.3250570738956,4.82374312967222,131.522527149192,130.600531821101,108.050263044043,25.4562277170257,25.851754984836,24.879056855966
dwell,4,1,2,3,318.079103355238,305.97879193548,315.046342154936,8.20344827107953,8.20344826548435,8.20344827540144,121.111692272333,109.152171121049,112.725152236246,24.6209263853631,24.6033276018039,25.2901487398363
travel,4,1,2,3,321.161248090893,305.426336249358,317.006911150496,8.84471680935413,7.91675814304812,8.79323385403233,120.658686798266,104.581281966648,110.180303062809,25.0628201615783,25.1056317853388,25.853326010961
dwell,2,1,3,4,328.296079315386,310.028840884235,323.793818721949,7.00588235284685,7.0058823513675,7.00588235236417,122.349125459741,110.489911094431,124.715533420277,25.7433692319556,24.9423662237255,24.8847856627089
travel,2,1,3,4,333.737514608058,311.352735257931,328.512084071178,10.4854834391984,5.93342498423285,10.0532096883037,127.038346525276,107.848511075069,126.772669318428,25.8373960103478,25.4380280228578,25.2174268440938
dwell,3,1,2,4,315.474119320625,315.381536898305,314.512038447514,7.77777776711204,7.77777777795175,7.77777777769962,112.703465489448,117.312122535374,113.050638449937,25.3463317288972,24.7586767953663,25.1826749996971
travel,3,1,2,4,320.244473170374,319.909465170826,318.885785160971,9.01210382075885,10.5058933142885,9.9896199712291,113.331738418202,118.907728880886,113.875035470532,25.8640918440215,25.1252170362425,25.6263437113048
dwell,4,1,2,3,321.291311914508,326.539113484739,349.089112382731,6.33563218396606,6.33563217320254,6.33563218333465,124.484720722262,128.641913068113,144.69194527417,24.6008238990307,24.7371500520782,25.5496458885701
travel,4,1,2,3,320.253163447471,327.131731180277,354.64300738163,4.74708484676283,7.59385897930466,11.7502800871816,120.236253742937,126.260037991012,148.027067901367,25.0021137130668,25.1089616486581,25.8269924350329
dwell,1,2,3,4,313.673685526237,334.211560092215,327.748478742383,7.6999999987407,7.6999999959753,7.70000000020496,114.000849151068,131.006383405111,131.624559476404,24.959104546896,25.400647085888,24.5154899082474
travel,1,2,3,4,311.512495758462,336.811951091575,328.693034289095,7.44447545694307,10.4069071213724,8.87085012884307,107.532680192398,130.003698819251,129.481022463086,25.497476945758,25.8510315340405,24.9015014782511
