optimal,current_idx,goal_idx_1,goal_idx_2,goal_idx_3,J_opt_1,J_opt_2,J_opt_3,opt_values_1,opt_values_2,opt_values_3,J_uncertainty_1,J_uncertainty_2,J_uncertainty_3,E_bar_1,E_bar_2,E_bar_3
dwell,1,2,3,4,164.057479578906,171.002983908743,161.421020246833,6.7333333333419,6.7333333208452,6.73333333098467,111.471951890257,117.154268039971,110.99409858464,26.2927638443244,26.924357934386,25.2134608310966
travel,1,2,3,4,164.649899591371,173.634941242503,159.677978400461,7.39549471092183,7.4427125510287,4.78771605118934,111.467229852195,118.956115455365,108.356363588761,26.5913348695875,27.339412893569,25.6608074058501
dwell,4,1,2,3,170.460562814031,152.429735160107,163.797506976345,5.7655172398364,5.76551724142197,5.76551723610757,118.63904964771,101.183139145753,109.762524679262,25.9107565831604,25.6232980071772,27.0174911485414
travel,4,1,2,3,171.985539997323,151.079469546028,165.694114414849,4.8836902545501,5.72271983792971,7.2949104733182,118.266998724237,99.6942119368614,111.689902086645,26.859270636543,25.6926288045835,27.0021061641021
dwell,2,1,3,4,164.020134069088,152.132873637163,163.22127912408,8.1705882354896,8.17058822787542,8.17058823550778,110.904987231095,100.999396268993,111.909240999126,26.5575734189967,25.5667386840852,25.6560190624766
travel,2,1,3,4,164.691796072703,149.209273005884,162.282145666714,7.39284980071243,5.93341927984025,5.93825917366025,109.884036203753,97.0582715775904,108.65372681101,27.4038799344751,26.0755007141467,26.8142094278522
dwell,3,1,2,4,156.055254402368,159.096531707271,155.439521417597,7.08888888400739,7.08888887572725,7.08888888278872,102.717797922832,107.506398310885,102.598023279983,26.668728239768,25.7950666981928,26.420749068807
travel,3,1,2,4,155.168215233522,157.277700122983,153.955062427621,7.35930970961768,6.09440401499618,7.35727494061457,101.151871800841,103.877885590911,100.291018194872,27.0081717163403,26.6999072660356,26.8320221163745
dwell,4,1,2,3,155.795142231012,159.724774463213,174.864509456143,5.70804595678138,5.70804596831418,5.7080459646496,104.976255423308,108.156143337768,119.965786106071,25.4094434038524,25.7843155627223,27.4493616750359
travel,4,1,2,3,153.826520071263,158.413385432523,177.760267039315,4.74708243713153,5.85932770593745,7.43151785395391,102.764116203671,106.358009745661,121.994634314306,25.5312019337961,26.027687843431,27.8828163625042
dwell,1,2,3,4,146.975108428278,162.790100562918,161.573944129991,6.78888887064915,6.78888886679225,6.78888888476419,94.822985641384,108.886899548657,110.750269248043,26.0760613934471,26.9516005071307,25.411837440974
travel,1,2,3,4,146.540212310683,165.30939726363,161.829653104218,7.37156731947905,7.34673796613931,4.88369025184352,94.2787647497092,110.361289090064,108.903183344848,26.1307237804871,27.4740540867829,26.4632348796849
dwell,2,1,3,4,165.24500209195,154.7560703638,154.862247004725,8.78823529272532,8.78823529400986,8.78823528842808,112.173924686061,103.640848485804,104.167062699476,26.5355387029446,25.5576109389978,25.3475921526248
travel,2,1,3,4,165.24338132371,150.718449681637,150.509074567341,7.43151785009917,5.97208823156615,5.89959109244352,109.776950237138,97.959896776644,98.0371693132786,27.733215543286,26.3792764524964,26.235952627031
dwell,4,1,2,3,156.717086571664,160.664276677116,150.537070796949,5.46896551541726,5.4689655143622,5.46896551241249,105.24416958118,108.379096076105,96.7036202191182,25.736458495242,26.1425903005056,26.9167252889152
travel,4,1,2,3,155.428344580831,160.612439556137,151.152876473091,4.66815047387315,5.93825918535792,7.35258586562807,102.917671989136,107.086625814511,97.9654461688929,26.2553362958477,26.7629068708134,26.5937151520992
dwell,3,1,2,4,160.207375081269,157.38219022679,167.756553004984,7.18888885952575,7.18888888911411,7.18888887544536,107.016481769435,106.267797234763,114.479283132578,26.595446655917,25.5571964960132,26.638634936203
travel,3,1,2,4,159.085415463396,153.875909930671,167.542403964647,7.43355308497274,6.02016031590679,7.43151854552056,105.33557756309,101.625889986947,112.75617543998,26.8749189501528,26.1250099718622,27.3931142623335
dwell,2,1,3,4,155.721866985699,170.477366681701,160.26226437804,6.12352939017716,6.12352941175583,6.12352939231394,102.318481250862,117.35895907105,108.456161740607,26.7016928674181,26.5592038053258,25.9030513187163
travel,2,1,3,4,155.137053653331,171.093157776045,158.147665688104,7.30920248838779,6.09440399707836,5.77727576891893,102.042138134206,116.283500735086,105.494913333131,26.5474577595624,27.4048285204794,26.3263761774866
dwell,1,2,3,4,167.158920362186,167.621208197498,152.549273378433,7.38888887087647,7.38888887314497,7.38888888885886,114.43036683983,114.10002534009,102.709900171382,26.364276761178,26.760591428704,24.9196866035253
travel,1,2,3,4,166.921265111509,168.128728915663,147.762471587356,7.43151860123027,7.40668890159106,4.82373964966312,112.65471880975,113.338704144153,97.0979981452249,27.1332731508793,27.3950123857548,25.3322367210656
dwell,4,1,2,3,158.299361895023,147.285620252077,152.033484984912,7.45632183910012,7.45632183830216,7.45632183368775,107.345613752644,96.4468094400934,98.9347075590495,25.4768740711897,25.4194054059916,26.549388712931
travel,4,1,2,3,157.861218226825,144.443472435476,152.05527472654,4.88369024962111,5.72271992627596,7.29491046982201,104.29053989772,92.3307600948184,98.091375394147,26.7853391645528,26.0563561703289,26.9819496661965
dwell,2,1,3,4,155.596809264891,143.257805782416,155.60110810002,6.1764705882419,6.17647058350355,6.1764705879904,101.381209066194,91.2303913275815,103.281383335919,27.1078000993485,26.0137072274174,26.1598623820506
travel,2,1,3,4,156.135378350883,141.009773213601,154.983580871656,7.39284981676951,5.93341928023809,5.93825918056637,101.217520904605,88.7364043278011,101.034185882792,27.4589287231389,26.1366844429001,26.9746974944322
dwell,3,1,2,4,147.891864147184,150.747368165833,148.363380428559,6.77777777739438,6.7777777585994,6.77777776519552,94.3376269015463,98.9804091222462,95.2478402651666,26.7771186228187,25.8834795217932,26.5577700816963
travel,3,1,2,4,150.128103446199,151.891370726024,150.07887605017,7.35930971731563,6.0944040340416,7.35727497240248,96.0245788796503,98.4499674113203,96.1738199833681,27.0517622832746,26.7207016573519,26.9525280334009
dwell,4,1,2,3,151.151943686304,155.123392547877,169.890150239194,5.17011494252465,5.17011492176279,5.17011494271042,100.037738688726,103.254140405464,114.638152872615,25.5571024987889,25.9346260712064,27.6259986832897
travel,4,1,2,3,152.020880819471,156.396963462698,175.115847363045,4.74708278888057,5.85932771650426,7.43151785383812,100.869949988619,104.272435780084,119.35828425406,25.5754654154261,26.0622638413073,27.8787815544928
dwell,1,2,3,4,145.539646268749,160.788191239535,159.381277560943,6.55555555544142,6.55555555502996,6.55555555396593,93.2487419651485,106.746439661526,108.461724659651,26.1454521518005,27.0208757890046,25.4597764506465
travel,1,2,3,4,143.889047981638,161.906534725398,158.288634215446,7.37156688344328,7.3467379724948,4.88369025247343,91.5274888492904,106.916622562774,105.341912233148,26.1807795661737,27.4949560813118,26.4733609911491
dwell,2,1,3,4,162.978975236943,152.478460621788,152.518695227693,8.50588233398358,8.50588233455736,8.50588233791141,109.751397305678,101.24135707199,101.714400509151,26.6137889656323,25.618551774899,25.4021473592706
travel,2,1,3,4,163.150614438667,148.687147810316,148.385846473419,7.43151785072239,5.97208823596433,5.8995910972827,107.630197193805,95.879246773444,95.8780881428307,27.7602086224311,26.403950518436,26.253879165294
dwell,4,1,2,3,156.033290494878,159.739528682134,149.938234811412,5.43908044943984,5.43908045981999,5.43908043670933,104.534498136374,107.44626461191,95.9805805071883,25.7493961792523,26.1466320351118,26.9788271521119
travel,4,1,2,3,157.960554010048,162.650778320296,153.772802928876,4.66815047369542,5.93826007396116,7.35258586561442,105.46991370081,109.222570649471,100.59016845788,26.245320154619,26.7141038354124,26.5913172354982
dwell,3,1,2,4,161.524424136066,158.36661396111,168.895937680402,7.16666664682289,7.16666666451092,7.1666666645991,108.321741353542,107.259896159445,115.621762216199,26.6013413912617,25.5533589008327,26.6370877321014
travel,3,1,2,4,161.822926356208,156.152113249617,169.996789783039,7.43355308374431,6.02016030540923,7.43151852810586,108.089360125598,103.97148407683,115.274848418015,26.8667831153047,26.0903145863935,27.360970682512
dwell,2,1,3,4,158.149824523475,172.853590093831,162.416174388998,6.29999998621256,6.29999999053818,6.29999998622586,104.854756267585,119.853955031087,110.720671897076,26.6475341279451,26.4998175313718,25.8477512459606
travel,2,1,3,4,159.747969631637,175.647941573804,162.363228600133,7.30920248824207,6.09440395641912,5.77727575292501,106.704313683472,120.930741835621,109.820999208184,26.5218279740822,27.3585998690916,26.2711146959744
dwell,1,2,3,4,171.669445188174,172.130553726533,156.755741230376,7.52222222189638,7.52222222087599,7.52222222237262,119.034381915236,118.714947925347,106.989033864479,26.3175316364691,26.7078029005931,24.8833536829486
travel,1,2,3,4,173.053439103052,174.375020377997,153.609469830875,7.43151856303128,7.40668888599788,4.82373964101609,118.914655437974,119.704889774644,103.056660442378,27.0693918325387,27.3350653016762,25.2764046942483
dwell,4,1,2,3,162.602938279844,151.028698352549,155.829232013786,7.74022988522305,7.7402298851165,7.74022987770355,111.77936777445,100.328594817416,102.910110091737,25.4117852526971,25.3500517675665,26.4595609610245
travel,4,1,2,3,159.656568023406,145.674774642954,153.270022396913,4.88369024988446,5.72271991707327,7.29491046363326,106.077315777839,93.623338478363,99.3800692204033,26.7896261227834,26.0257180822955,26.944976588255
dwell,2,1,3,4,157.807657952276,145.032664028096,157.962432862434,6.37058823524039,6.37058823345573,6.37058823505725,103.717165793963,93.1347442212911,105.739401346106,27.0452460791562,25.9489599034023,26.1115157581641
travel,2,1,3,4,159.475925230786,143.80898042987,158.445759316782,7.39284980958052,5.93341927991351,5.93825917980856,104.606516900616,91.6347718804975,104.526441173615,27.4347041650848,26.0871042746861,26.9596590715835
dwell,3,1,2,4,151.422155953476,154.239889722086,151.916986796296,7.04444444345142,7.04444444186687,7.04444444414456,98.0408937646947,102.624355925716,98.9058249662667,26.6906310943904,25.8077668981851,26.5055809150146
travel,3,1,2,4,149.901244749859,151.802902006113,150.002880748954,7.35930971471329,6.09440402906753,7.35727497132966,95.8269612260395,98.3719318876464,96.1055514145274,27.0371417619099,26.7154850592332,26.9486646672134
dwell,1,2,3,4,156.01676840628,169.195681317655,149.353145073393,5.37777777757787,5.37777777713475,5.37777777681261,102.754516651427,114.001626075974,98.6762667235802,26.6311258774265,27.5970276208403,25.3384391749062
travel,1,2,3,4,158.663997548784,174.80704622873,149.755467585354,7.3592859703827,7.47892081794164,4.75150726406249,105.477518085385,118.976410592345,98.8703414537305,26.5932397316994,27.9153178181926,25.4425630658118
dwell,4,1,2,3,161.780225091298,143.66104988873,160.982387327502,6.97816091970321,6.97816091728028,6.97816091939272,110.622715263649,92.9571149330589,107.242982582769,25.5787549138246,25.3519674778354,26.8697023723664
travel,4,1,2,3,162.644832584768,141.355263399738,163.277154301487,4.88369024841017,5.72271939985166,7.29491057536864,109.116800655314,90.1035588916232,108.380196656474,26.764015964727,25.6258522540572,27.4484788225063
dwell,2,1,3,4,152.848295825651,146.760198734268,152.695209041142,8.54117646883839,8.54117643547075,8.54117646302131,99.9745860320987,95.4683744159664,101.502897894356,26.4368548967761,25.6459121591506,25.596155573393
travel,2,1,3,4,150.791633971447,141.950729383232,149.232145666713,7.39284978256984,5.93341969279914,5.93825917365805,96.118320983248,89.0703652124487,95.6037268186092,27.3366564940996,26.4401820853916,26.8142094240519
dwell,3,1,2,4,147.8351491713,152.503799799338,148.30214307964,5.4555555554377,5.45555555419844,5.45555555137165,93.5000358716009,99.9750111426375,94.5400291086113,27.1675566498497,26.2643943283503,26.8810569855143
travel,3,1,2,4,149.256962169277,153.058132333904,149.142223228716,7.35930970912237,6.09440320805017,7.35727495867535,95.2463739170496,99.4029226546474,95.3366210957129,27.0052941261138,26.8276048396284,26.9028010665016
dwell,4,1,2,3,149.149844757864,154.82297339147,168.519737704652,5.3494252868318,5.34942528732744,5.34942528565358,98.1548849963091,102.979105927983,113.367023251279,25.4974798807774,25.9219337317434,27.5763572266866
travel,4,1,2,3,146.273027545057,152.768164850585,170.259963810587,4.74708278613912,5.85932775290793,7.4315185732932,95.1622639697567,100.427846995169,114.404855804807,25.5553817876503,26.170158927708,27.9275540028899
dwell,1,2,3,4,143.509027476263,157.721236369789,156.198859530179,6.72222220667945,6.72222222068573,6.72222222200402,91.2379826245932,103.760807142254,105.350994576971,26.1355224258351,26.9802146137676,25.4239324766037
travel,1,2,3,4,142.257961294681,159.26527269111,155.459125717239,7.37156688395832,7.3467379756962,4.88369025215999,89.7803684821529,104.254336325159,102.52254142617,26.238796406264,27.5054681829759,26.4682921455346
dwell,2,1,3,4,161.239901429959,150.770916509173,150.730733183975,8.1705882351661,8.17058823515617,8.17058822373688,107.83456662619,99.3889745610077,99.7967565215062,26.7026674018846,25.6909709740828,25.4669883312344
travel,2,1,3,4,160.73454437637,146.41773207865,146.038544862099,7.43151785128446,5.97208824100914,5.89959110327573,105.167451517452,93.5542689583926,93.4873128033019,27.7835464294588,26.4317315601286,26.2756160293983
